ticker,company_name,sector,provider_symbol
AEFES,Anadolu Efes Biracilik ve Malt Sanayii,Beverages,AEFES.IS
AGESA,Agesa Hayat ve Emeklilik,Insurance,AGESA.IS
AGHOL,AG Anadolu Grubu Holding,Conglomerates,AGHOL.IS
AKBNK,Akbank,Banking,AKBNK.IS
AKFGY,Akfen Gayrimenkul Yatirim Ortakligi,REIT,AKFGY.IS
AKSA,Aksa Akrilik Kimya Sanayii,Chemicals,AKSA.IS
AKSEN,Aksa Enerji Uretim,Energy,AKSEN.IS
ALARK,Alarko Holding,Conglomerates,ALARK.IS
ALFAS,Alfa Solar Enerji,Energy,ALFAS.IS
ANHYT,Anadolu Hayat Emeklilik,Insurance,ANHYT.IS
ARCLK,Arcelik,Consumer Durables,ARCLK.IS
ASELS,Aselsan Elektronik Sanayi ve Ticaret,Defense,ASELS.IS
ASUZU,Anadolu Isuzu Otomotiv Sanayi,Automotive,ASUZU.IS
AYGAZ,Aygaz,Energy,AYGAZ.IS
BERA,Bera Holding,Conglomerates,BERA.IS
BIMAS,BIM Birlesik Magazalar,Retail,BIMAS.IS
BIOEN,Biotrend Cevre ve Enerji Yatirimlari,Energy,BIOEN.IS
BRISA,Brisa Bridgestone Sabanci Lastik Sanayi,Automotive,BRISA.IS
BRSAN,Borusan Mannesmann Boru Sanayi ve Ticaret,Steel,BRSAN.IS
BRYAT,Borusan Yatirim ve Pazarlama,Conglomerates,BRYAT.IS
BTCIM,Baticiement,Building Materials,BTCIM.IS
BUCIM,Bursa Cimento Fabrikasi,Building Materials,BUCIM.IS
CCOLA,Coca-Cola Icecek,Beverages,CCOLA.IS
CEMTS,Cemtas Celik Makina Sanayi ve Ticaret,Steel,CEMTS.IS
CIMSA,Cimsa Cimento Sanayi ve Ticaret,Building Materials,CIMSA.IS
CWENE,CW Enerji Muhendislik Ticaret ve Sanayi,Energy,CWENE.IS
DOAS,Dogus Otomotiv Servis ve Ticaret,Automotive,DOAS.IS
DOHOL,Dogan Sirketler Grubu Holding,Conglomerates,DOHOL.IS
ECILC,Eczacibasi Ilac Sanayi,Pharmaceuticals,ECILC.IS
EGEEN,Ege Endustri ve Ticaret,Automotive,EGEEN.IS
EKGYO,Emlak Konut Gayrimenkul Yatirim Ortakligi,REIT,EKGYO.IS
ENKAI,Enka Insaat ve Sanayi,Construction,ENKAI.IS
ENJSA,Enerjisa Enerji,Energy,ENJSA.IS
EREGL,Eregli Demir ve Celik Fabrikalari,Steel,EREGL.IS
EUPWR,Eupwr Enerji,Energy,EUPWR.IS
FROTO,Ford Otomotiv Sanayi,Automotive,FROTO.IS
GARAN,Turkiye Garanti Bankasi,Banking,GARAN.IS
GESAN,Girisim Elektrik Taahhut Ticaret ve Sanayi,Energy,GESAN.IS
GUBRF,Gubre Fabrikalari,Chemicals,GUBRF.IS
HALKB,Turkiye Halk Bankasi,Banking,HALKB.IS
HEKTS,Hektas Ticaret,Chemicals,HEKTS.IS
ISCTR,Turkiye Is Bankasi,Banking,ISCTR.IS
ISGYO,Is Gayrimenkul Yatirim Ortakligi,REIT,ISGYO.IS
KCHOL,Koc Holding,Conglomerates,KCHOL.IS
KONTR,Kontrolmatik Teknoloji Enerji ve Muhendislik,Technology,KONTR.IS
KOZAA,Koza Anadolu Metal Madencilik Isletmeleri,Mining,KOZAA.IS
KOZAL,Koza Altin Isletmeleri,Mining,KOZAL.IS
KRDMD,Kardemir Karabuk Demir Celik Sanayi ve Ticaret,Steel,KRDMD.IS
KZBGY,Kuzey Boru Gayrimenkul Yatirim Ortakligi,REIT,KZBGY.IS
LOGO,Logo Yazilim Sanayi ve Ticaret,Technology,LOGO.IS
MAVI,Mavi Giyim Sanayi ve Ticaret,Retail,MAVI.IS
MGROS,Migros Ticaret,Retail,MGROS.IS
MPARK,MLP Saglik Hizmetleri,Healthcare,MPARK.IS
ODAS,Odas Elektrik Uretim Sanayi Ticaret,Energy,ODAS.IS
OTKAR,Otokar Otomotiv ve Savunma Sanayi,Defense,OTKAR.IS
OYAKC,Oyak Cimento Fabrikalari,Building Materials,OYAKC.IS
PETKM,Petkim Petrokimya Holding,Chemicals,PETKM.IS
PGSUS,Pegasus Hava Tasimaciligi,Airlines,PGSUS.IS
