ticker,total_days,available_days,coverage_pct
AEFES,1544,1544,1.0
AGHOL,1544,1544,1.0
AKSA,1544,1544,1.0
EREGL,1544,1544,1.0
FROTO,1544,1544,1.0
BTCIM,1544,1544,1.0
CCOLA,1544,1544,1.0
PAPIL,1544,1544,1.0
TURSG,1544,1544,1.0
TKFEN,1544,1544,1.0
OYAKC,1544,1544,1.0
PGSUS,1544,1544,1.0
SASA,1544,1544,1.0
MAVI,1544,1544,1.0
BRYAT,1544,1543,0.9994
AKFGY,1544,1543,0.9994
AGESA,1544,1543,0.9994
AKBNK,1544,1543,0.9994
ASUZU,1544,1543,0.9994
AKSEN,1544,1543,0.9994
ANHYT,1544,1543,0.9994
ALARK,1544,1543,0.9994
ENKAI,1544,1543,0.9994
EGEEN,1544,1543,0.9994
BRSAN,1544,1543,0.9994
CEMTS,1544,1543,0.9994
ECILC,1544,1543,0.9994
DOHOL,1544,1543,0.9994
CIMSA,1544,1543,0.9994
DOAS,1544,1543,0.9994
GARAN,1544,1543,0.9994
BERA,1544,1543,0.9994
BRISA,1544,1543,0.9994
BIMAS,1544,1543,0.9994
BUCIM,1544,1543,0.9994
ASELS,1544,1543,0.9994
AYGAZ,1544,1543,0.9994
ARCLK,1544,1543,0.9994
YKBNK,1544,1543,0.9994
VAKBN,1544,1543,0.9994
ULKER,1544,1543,0.9994
VESTL,1544,1543,0.9994
VESBE,1544,1543,0.9994
ENJSA,1544,1543,0.9994
EKGYO,1544,1543,0.9994
GUBRF,1544,1543,0.9994
MPARK,1544,1543,0.9994
ODAS,1544,1543,0.9994
MGROS,1544,1543,0.9994
LOGO,1544,1543,0.9994
ISGYO,1544,1543,0.9994
KCHOL,1544,1543,0.9994
HEKTS,1544,1543,0.9994
HALKB,1544,1543,0.9994
THYAO,1544,1543,0.9994
SOKM,1544,1543,0.9994
TCELL,1544,1543,0.9994
TAVHL,1544,1543,0.9994
SISE,1544,1543,0.9994
SAHOL,1544,1543,0.9994
SKBNK,1544,1543,0.9994
PETKM,1544,1543,0.9994
TKNSA,1544,1543,0.9994
INDES,1544,1543,0.9994
DGATE,1544,1543,0.9994
TUPRS,1544,1543,0.9994
TOASO,1544,1543,0.9994
TTRAK,1544,1543,0.9994
KRDMD,1544,1543,0.9994
ISCTR,1544,1543,0.9994
TTKOM,1544,1543,0.9994
ZOREN,1544,1543,0.9994
OTKAR,1544,1541,0.9981
KONTR,1544,1345,0.8711
TRILC,1544,1246,0.807
TUREX,1544,1224,0.7927
QUAGR,1544,1222,0.7915
BIOEN,1544,1211,0.7843
CANTE,1544,1209,0.783
PENTA,1544,1199,0.7766
BASGZ,1544,1182,0.7655
GENIL,1544,1147,0.7429
KZBGY,1544,1143,0.7403
GESAN,1544,1137,0.7364
YEOTK,1544,1128,0.7306
MIATK,1544,1072,0.6943
SMRTG,1544,985,0.638
KMPUR,1544,959,0.6211
EUREN,1544,935,0.6056
ALFAS,1544,823,0.533
AKFYE,1544,741,0.4799
EUPWR,1544,717,0.4644
CWENE,1544,708,0.4585
KAYSE,1544,699,0.4527
KLSER,1544,646,0.4184
EBEBK,1544,618,0.4003
REEDR,1544,609,0.3944
TABGD,1544,585,0.3789
BINHO,1544,572,0.3705
ONRYT,1544,441,0.2856
KOZAA,1544,0,0.0
KOZAL,1544,0,0.0
