ticker,cluster_id,sector
AEFES,6,Beverages
TURSG,20,Insurance
MAVI,6,Retail
FROTO,6,Automotive
OYAKC,6,Building Materials
EREGL,6,Steel
PGSUS,6,Airlines
SASA,4,Chemicals
CCOLA,6,Beverages
BTCIM,25,Building Materials
BIMAS,6,Retail
TKFEN,7,Construction
PAPIL,26,Defense
AGHOL,6,Conglomerates
AKSA,14,Chemicals
DGATE,5,Technology
SISE,6,Industrials
LOGO,17,Technology
AGESA,1,Insurance
MPARK,19,Healthcare
ODAS,6,Energy
ZOREN,6,Energy
YKBNK,6,Banking
PETKM,6,Chemicals
VESTL,6,Consumer Durables
SAHOL,6,Conglomerates
VESBE,6,Consumer Durables
SKBNK,6,Banking
INDES,5,Technology
SOKM,6,Retail
TAVHL,6,Transportation
TCELL,6,Telecommunications
THYAO,6,Airlines
VAKBN,6,Banking
KCHOL,6,Conglomerates
ULKER,6,Food
TKNSA,16,Retail
TOASO,6,Automotive
TTKOM,6,Telecommunications
TTRAK,6,Industrials
TUPRS,6,Energy
KRDMD,6,Steel
MGROS,6,Retail
ISGYO,10,REIT
EGEEN,11,Automotive
ARCLK,6,Consumer Durables
AYGAZ,6,Energy
BERA,22,Conglomerates
BRISA,15,Automotive
BRSAN,3,Steel
BRYAT,3,Conglomerates
BUCIM,6,Building Materials
CEMTS,6,Steel
CIMSA,6,Building Materials
DOAS,13,Automotive
ANHYT,2,Insurance
DOHOL,6,Conglomerates
ASUZU,18,Automotive
ECILC,23,Pharmaceuticals
EKGYO,6,REIT
AKSEN,6,Energy
AKBNK,6,Banking
ISCTR,6,Banking
AKFGY,21,REIT
HEKTS,4,Chemicals
HALKB,6,Banking
ENJSA,6,Energy
GUBRF,24,Chemicals
GARAN,6,Banking
ALARK,9,Conglomerates
ENKAI,8,Construction
ASELS,6,Defense
OTKAR,12,Defense
