ticker,degree,betweenness_centrality,sector
SISE,22,0.7715179968701096,Industrials
VESBE,9,0.47417840375586856,Consumer Durables
ODAS,6,0.13497652582159625,Energy
AKBNK,6,0.13497652582159625,Banking
PETKM,5,0.48669796557120504,Chemicals
MGROS,5,0.10876369327073553,Retail
KCHOL,5,0.4855242566510172,Conglomerates
AGHOL,5,0.20735524256651017,Conglomerates
SAHOL,4,0.22769953051643194,Conglomerates
DOHOL,4,0.08215962441314555,Conglomerates
CEMTS,4,0.08215962441314555,Steel
INDES,3,0.05516431924882629,Technology
BUCIM,3,0.25195618153364635,Building Materials
ISCTR,2,0.15492957746478875,Banking
TTKOM,2,0.22183098591549297,Telecommunications
ZOREN,2,0.2625195618153365,Energy
AYGAZ,1,0.0,Energy
BRYAT,1,0.0,Conglomerates
BRSAN,1,0.0,Steel
CIMSA,1,0.0,Building Materials
BRISA,1,0.0,Automotive
BERA,1,0.0,Conglomerates
EGEEN,1,0.0,Automotive
ARCLK,1,0.0,Consumer Durables
AEFES,1,0.0,Beverages
DOAS,1,0.0,Automotive
ANHYT,1,0.0,Insurance
ASUZU,1,0.0,Automotive
ECILC,1,0.0,Pharmaceuticals
EKGYO,1,0.0,REIT
AKSEN,1,0.0,Energy
AKFGY,1,0.0,REIT
HEKTS,1,0.0,Chemicals
HALKB,1,0.0,Banking
ENJSA,1,0.0,Energy
GUBRF,1,0.0,Chemicals
GARAN,1,0.0,Banking
ALARK,1,0.0,Conglomerates
ENKAI,1,0.0,Construction
ASELS,1,0.0,Defense
ISGYO,1,0.0,REIT
TKNSA,1,0.0,Retail
KRDMD,1,0.0,Steel
LOGO,1,0.0,Technology
MAVI,1,0.0,Retail
FROTO,1,0.0,Automotive
OYAKC,1,0.0,Building Materials
EREGL,1,0.0,Steel
PGSUS,1,0.0,Airlines
SASA,1,0.0,Chemicals
CCOLA,1,0.0,Beverages
BTCIM,1,0.0,Building Materials
BIMAS,1,0.0,Retail
TKFEN,1,0.0,Construction
PAPIL,1,0.0,Defense
AKSA,1,0.0,Chemicals
DGATE,1,0.0,Technology
AGESA,1,0.0,Insurance
TUPRS,1,0.0,Energy
MPARK,1,0.0,Healthcare
YKBNK,1,0.0,Banking
VESTL,1,0.0,Consumer Durables
SKBNK,1,0.0,Banking
SOKM,1,0.0,Retail
TAVHL,1,0.0,Transportation
TCELL,1,0.0,Telecommunications
THYAO,1,0.0,Airlines
VAKBN,1,0.0,Banking
ULKER,1,0.0,Food
TURSG,1,0.0,Insurance
TOASO,1,0.0,Automotive
TTRAK,1,0.0,Industrials
OTKAR,1,0.0,Defense
