ticker_a,ticker_b,sector_a,sector_b,correlation,beta,half_life,spread_std,n_signals,current_zscore,rank_score
BRSAN,BRYAT,Steel,Conglomerates,0.7251,0.3877,227.7,0.672198,48,-0.833,0.4412
YKBNK,AKBNK,Banking,Banking,0.8595,0.89,127.8,0.148372,60,0.6373,0.4411
SAHOL,ISCTR,Conglomerates,Banking,0.6881,1.2081,45.0,0.136847,54,0.8767,0.4291
SAHOL,AKBNK,Conglomerates,Banking,0.7157,1.3129,178.7,0.349938,56,1.6651,0.4001
TUPRS,AYGAZ,Energy,Energy,0.611,0.9373,43.0,0.143281,56,1.0992,0.3965
AGHOL,SAHOL,Conglomerates,Conglomerates,0.5061,0.8742,35.8,0.125702,68,0.2044,0.3636
KCHOL,KRDMD,Conglomerates,Steel,0.5427,0.6609,118.3,0.302707,57,3.3633,0.3485
YKBNK,VAKBN,Banking,Banking,0.696,0.9174,222.0,0.360812,53,1.1305,0.3392
PETKM,KRDMD,Chemicals,Steel,0.5887,0.9235,147.9,0.266565,55,2.9662,0.3295
KCHOL,ISCTR,Conglomerates,Banking,0.6506,1.0652,88.2,0.176024,52,1.6342,0.3234
SAHOL,KCHOL,Conglomerates,Conglomerates,0.7754,0.8293,218.6,0.194632,56,-0.1545,0.3148
KCHOL,AKBNK,Conglomerates,Banking,0.6481,1.2311,154.3,0.30405,45,2.1989,0.3121
SAHOL,KRDMD,Conglomerates,Steel,0.5312,0.7267,130.9,0.302611,59,2.7172,0.3101
KCHOL,TUPRS,Conglomerates,Energy,0.5974,1.6095,247.0,0.487335,64,-0.3058,0.3093
SISE,KRDMD,Industrials,Steel,0.6068,0.8235,138.5,0.255848,57,1.7981,0.302
VAKBN,EKGYO,Banking,REIT,0.5081,1.1115,83.9,0.281946,55,-2.491,0.3005
TTKOM,AKBNK,Telecommunications,Banking,0.5008,1.1193,51.5,0.184869,54,1.5109,0.2892
VESTL,VESBE,Consumer Durables,Consumer Durables,0.6489,0.9731,72.8,0.168366,52,0.1686,0.2787
SISE,PETKM,Industrials,Chemicals,0.5991,0.3309,246.8,0.389521,55,-1.2604,0.2785
EKGYO,HALKB,REIT,Banking,0.5115,1.0891,163.0,0.423611,55,2.0998,0.2772
