ticker_a,ticker_b,excess_point,excess_ci_low,excess_ci_high,includes_zero
BRSAN,HEKTS,0.04419,0.01899,0.07675,False
OYAKC,TKNSA,0.04336,0.01189,0.06997,False
ECILC,AKFGY,0.03901,-0.01769,0.09746,True
ASUZU,HEKTS,0.03795,0.00768,0.06898,False
ZOREN,TKNSA,0.03684,-0.00978,0.07563,True
OYAKC,ZOREN,0.03348,0.00033,0.06927,False
ZOREN,BUCIM,0.02936,-0.00639,0.07152,True
ASUZU,ECILC,0.02886,-0.0203,0.0848,True
SKBNK,BRSAN,0.02763,0.00537,0.06127,False
OYAKC,TCELL,0.02751,0.00028,0.06057,False
OYAKC,SASA,0.02725,0.00218,0.05432,False
OYAKC,BRSAN,0.02705,0.00427,0.05398,False
ISGYO,AKFGY,0.02683,-0.01442,0.06184,True
AKFGY,HEKTS,0.02632,0.00153,0.05633,False
