source,target,distance,correlation
AEFES,AGHOL,0.937406706745128,0.5606343330746267
AEFES,CCOLA,0.9916936839229363,0.5082718186336777
TURSG,CEMTS,1.093074407165596,0.4025941701997904
MAVI,KCHOL,0.9972562253874311,0.5027400104630066
MAVI,MPARK,1.0865100007895219,0.40974800909217657
FROTO,TOASO,0.8888750202406795,0.6049505991960658
OYAKC,CIMSA,0.9301800295547086,0.5673825563088007
EREGL,KRDMD,0.7357733578066633,0.7293187829709539
PGSUS,THYAO,0.6700660570075742,0.7755057396231612
SASA,HEKTS,0.9338265242845697,0.5639840112712999
SASA,SISE,1.0523632977740272,0.44626574474908726
BTCIM,ODAS,1.1525010141448488,0.33587070619754744
BIMAS,MGROS,0.9253536370101635,0.5718603232360313
TKFEN,PETKM,1.0009898144421348,0.4990096956915504
PAPIL,ASELS,1.1650067626306946,0.3213796215123743
AGHOL,MGROS,0.9901686606707109,0.5097830117127853
AGHOL,SAHOL,0.9939224848941703,0.5060590470108989
AKSA,AKSEN,1.0421082038641918,0.457005245719474
DGATE,INDES,0.9863797880875238,0.5135274568262058
SISE,KCHOL,0.8596672350451797,0.6304861224948879
SISE,THYAO,0.8777947789172628,0.6147381630527969
SISE,KRDMD,0.8868336690726667,0.606763021699556
SISE,PETKM,0.8954160144501535,0.5991150805331013
SISE,DOHOL,0.8999049815682293,0.5950855120743425
SISE,ENKAI,1.0034061057503048,0.49658809347150407
SISE,BRISA,1.045005549399737,0.4539817008618769
LOGO,INDES,1.0640956198689195,0.43385025588789
AGESA,ANHYT,1.0467410617417994,0.45216657483182526
ODAS,ZOREN,0.9264821697797765,0.5708153945400787
ZOREN,PETKM,0.9749248621329476,0.5247607565975265
ZOREN,AKSEN,0.9936895816525181,0.5062905076576218
YKBNK,AKBNK,0.530183571369907,0.8594526903247254
YKBNK,ISCTR,0.558839990140559,0.84384893270985
PETKM,ALARK,1.0053888913761417,0.4945965885487263
VESTL,VESBE,0.8379265498960135,0.6489395484896818
SAHOL,KCHOL,0.6702163687643163,0.775405009520187
SAHOL,AKBNK,0.7540642898981385,0.7156935233502081
SAHOL,TTKOM,0.9067154609506346,0.5889335364365391
SAHOL,EKGYO,0.9414687781599007,0.5568182698750518
SAHOL,ENJSA,0.957646806996464,0.5414562965247386
VESBE,ARCLK,0.942714559291685,0.555644629849742
VESBE,EGEEN,1.0306307941855395,0.46890008303824215
VESBE,INDES,1.0337849401113388,0.46564434879949795
VESBE,TKNSA,1.0545689551232575,0.44394215944512055
SKBNK,ISCTR,0.9588973509284902,0.540257935191162
SKBNK,ISGYO,1.0198014627247365,0.4800024883122439
SOKM,MGROS,0.8726513278428355,0.6192398300070681
SOKM,ULKER,0.9950060639762819,0.5049814663252136
TAVHL,THYAO,0.7448207233496564,0.7226210450344472
TCELL,TTKOM,0.8015602607381246,0.6787505742027149
VAKBN,HALKB,0.5755052500426266,0.8343968535866869
VAKBN,ISCTR,0.7452207403565615,0.7223230240712092
KCHOL,ARCLK,0.8739768223385734,0.6180822570074849
KCHOL,TUPRS,0.8973282141749602,0.5974010380227883
KCHOL,TOASO,0.9233157678320222,0.5737439964363816
KCHOL,TTRAK,0.9814093583094619,0.5184178357113052
TTKOM,ASELS,0.9690490769403375,0.5304719432405399
TTRAK,OTKAR,1.0312451978752106,0.46826667092965885
TTRAK,DOAS,1.0339897522287886,0.46543259614292426
TUPRS,AYGAZ,0.8820396405640061,0.6110030362368595
KRDMD,CIMSA,0.9911120407861316,0.5088484613043748
EGEEN,BRYAT,1.0659656830935937,0.43185858123340404
BERA,CEMTS,1.1036625126888677,0.3909645290426474
BRSAN,BRYAT,0.7415242205846319,0.7250709151431771
BUCIM,CIMSA,0.945357465827786,0.5531496309018332
BUCIM,CEMTS,0.9821996008003258,0.5176419720938403
DOAS,ASUZU,1.0762821831906886,0.4208083310731425
ANHYT,DOHOL,1.0978977493030073,0.3973102660376954
DOHOL,ECILC,1.1049790417114778,0.3895106586891921
EKGYO,AKFGY,1.1034141798674593,0.3912385738337112
AKBNK,GARAN,0.5503459637251563,0.8485596601057145
GUBRF,ASELS,1.107698627436244,0.3865018753879305
