source,target,partial_correlation,abs_partial_corr
BRSAN,BRYAT,0.496996,0.496996
VAKBN,HALKB,0.414289,0.414289
PGSUS,THYAO,0.318488,0.318488
EREGL,KRDMD,0.316899,0.316899
SASA,HEKTS,0.289812,0.289812
AKBNK,GARAN,0.256245,0.256245
TCELL,TTKOM,0.246791,0.246791
YKBNK,AKBNK,0.243033,0.243033
PGSUS,TAVHL,0.238018,0.238018
YKBNK,ISCTR,0.232459,0.232459
VESTL,VESBE,0.221948,0.221948
DGATE,INDES,0.196981,0.196981
OYAKC,CIMSA,0.193534,0.193534
AKBNK,ISCTR,0.193459,0.193459
SOKM,MGROS,0.189432,0.189432
FROTO,TOASO,0.186272,0.186272
SAHOL,KCHOL,0.183391,0.183391
TAVHL,THYAO,0.182322,0.182322
TUPRS,AYGAZ,0.18121,0.18121
ODAS,ZOREN,0.179327,0.179327
YKBNK,GARAN,0.174703,0.174703
AEFES,AGHOL,0.169465,0.169465
SKBNK,ISGYO,0.16434,0.16434
ISCTR,GARAN,0.148871,0.148871
OYAKC,BUCIM,0.133699,0.133699
BUCIM,CIMSA,0.132421,0.132421
BIMAS,MGROS,0.124207,0.124207
BUCIM,CEMTS,0.122644,0.122644
AGESA,ANHYT,0.121897,0.121897
EGEEN,BRYAT,0.113029,0.113029
SAHOL,AKBNK,0.103962,0.103962
DOAS,ASUZU,0.103535,0.103535
VAKBN,ISCTR,0.103286,0.103286
AGHOL,MGROS,0.101645,0.101645
SOKM,ULKER,0.10109,0.10109
ZOREN,AKSEN,0.098586,0.098586
PETKM,TUPRS,0.095574,0.095574
TTKOM,ASELS,0.093631,0.093631
VAKBN,AKBNK,0.093246,0.093246
BIMAS,SOKM,0.091083,0.091083
PETKM,KRDMD,0.091048,0.091048
ISGYO,EKGYO,0.090067,0.090067
AEFES,CCOLA,0.090046,0.090046
VAKBN,GARAN,0.089491,0.089491
OYAKC,EKGYO,0.088812,0.088812
TKFEN,ENKAI,0.088542,0.088542
TTRAK,DOAS,0.085551,0.085551
FROTO,KCHOL,0.084286,0.084286
HEKTS,GUBRF,0.083066,0.083066
KCHOL,ARCLK,0.082958,0.082958
KCHOL,TUPRS,0.082849,0.082849
ODAS,AKSEN,0.082473,0.082473
YKBNK,KCHOL,0.08146,0.08146
AKSA,AKSEN,0.081421,0.081421
DGATE,BRYAT,0.081388,0.081388
YKBNK,VAKBN,0.078111,0.078111
SISE,KRDMD,0.078046,0.078046
YKBNK,SAHOL,0.077883,0.077883
KRDMD,CIMSA,0.076986,0.076986
LOGO,INDES,0.076282,0.076282
TKNSA,AKFGY,0.075848,0.075848
ZOREN,PETKM,0.075826,0.075826
EGEEN,BRISA,0.075601,0.075601
ISCTR,HALKB,0.075524,0.075524
TKFEN,PETKM,0.075445,0.075445
SKBNK,ISCTR,0.075383,0.075383
FROTO,ARCLK,0.074656,0.074656
SISE,DOHOL,0.073757,0.073757
FROTO,OTKAR,0.070332,0.070332
ODAS,TKNSA,0.069986,0.069986
VESBE,ARCLK,0.069495,0.069495
ZOREN,ENJSA,0.069048,0.069048
EGEEN,OTKAR,0.068442,0.068442
EKGYO,HALKB,0.068211,0.068211
FROTO,TTRAK,0.068117,0.068117
TURSG,TKNSA,0.068063,0.068063
TTRAK,OTKAR,0.067973,0.067973
VESTL,ARCLK,0.067945,0.067945
PAPIL,DGATE,0.067751,0.067751
VESBE,TKNSA,0.067066,0.067066
TKNSA,EGEEN,0.065079,0.065079
MPARK,TKNSA,0.064658,0.064658
GUBRF,ASELS,0.064505,0.064505
ULKER,MGROS,0.064207,0.064207
SKBNK,VAKBN,0.063923,0.063923
AGHOL,ASUZU,0.06368,0.06368
BTCIM,ODAS,0.062162,0.062162
INDES,TKNSA,0.061887,0.061887
KCHOL,TOASO,0.061879,0.061879
PETKM,AKSEN,0.06106,0.06106
THYAO,TUPRS,0.060535,0.060535
SISE,PETKM,0.06046,0.06046
SISE,ARCLK,0.06024,0.06024
EREGL,SISE,0.060117,0.060117
PAPIL,CEMTS,0.059856,0.059856
PETKM,DOHOL,0.059781,0.059781
ODAS,BERA,0.059626,0.059626
TOASO,ARCLK,0.059584,0.059584
KRDMD,AYGAZ,0.059535,0.059535
VESTL,ALARK,0.059493,0.059493
BUCIM,EKGYO,0.059379,0.059379
SAHOL,ISCTR,0.059366,0.059366
MAVI,PGSUS,0.058679,0.058679
DGATE,ASUZU,0.058155,0.058155
AKSA,CEMTS,0.057435,0.057435
ARCLK,DOHOL,0.056997,0.056997
AGHOL,SOKM,0.05695,0.05695
SKBNK,HALKB,0.056918,0.056918
TURSG,CEMTS,0.056908,0.056908
KCHOL,ISCTR,0.056799,0.056799
VESBE,EGEEN,0.0565,0.0565
SISE,TUPRS,0.056236,0.056236
TOASO,TTRAK,0.056233,0.056233
TURSG,ANHYT,0.056175,0.056175
BERA,CEMTS,0.056083,0.056083
PAPIL,ASELS,0.055929,0.055929
SISE,THYAO,0.055612,0.055612
PGSUS,DOAS,0.055423,0.055423
AKSEN,HEKTS,0.055281,0.055281
EGEEN,CEMTS,0.054944,0.054944
CEMTS,ECILC,0.05454,0.05454
CIMSA,AKFGY,0.054505,0.054505
TOASO,DOAS,0.054444,0.054444
BERA,BRSAN,0.054432,0.054432
ISGYO,ASUZU,0.054356,0.054356
VESTL,TTRAK,0.054014,0.054014
ZOREN,ALARK,0.053857,0.053857
DOHOL,ENKAI,0.05371,0.05371
SAHOL,TTKOM,0.053192,0.053192
KRDMD,ASELS,0.052735,0.052735
MAVI,MPARK,0.051897,0.051897
SKBNK,GARAN,0.051764,0.051764
SAHOL,DOHOL,0.051694,0.051694
CEMTS,DOHOL,0.051498,0.051498
BTCIM,TKNSA,0.051483,0.051483
ECILC,HEKTS,0.051476,0.051476
CCOLA,AGHOL,0.05116,0.05116
MAVI,TKNSA,0.051138,0.051138
TKFEN,TTKOM,0.051074,0.051074
DGATE,BERA,0.050986,0.050986
TOASO,ENJSA,0.050569,0.050569
SAHOL,GARAN,0.050345,0.050345
ULKER,GUBRF,0.050053,0.050053
EKGYO,AKFGY,0.049636,0.049636
PETKM,THYAO,0.049527,0.049527
DGATE,CEMTS,0.049247,0.049247
KRDMD,EKGYO,0.049073,0.049073
MAVI,TAVHL,0.049072,0.049072
ASUZU,ALARK,0.048761,0.048761
