source,target,distance,correlation
AEFES,KCHOL,0.8787370468876203,0.6139106012136121
TURSG,AGHOL,1.0157778575407488,0.4840976720649631
MAVI,VESBE,0.9289665066438052,0.5685106147670025
MAVI,CCOLA,0.948048917280958,0.5506016252212016
MAVI,BTCIM,1.1162613222311926,0.37698033024533484
FROTO,TOASO,0.7308703700314179,0.7329142511050692
FROTO,SAHOL,0.7726512543213936,0.7015050195977885
OYAKC,BUCIM,0.8830380896280181,0.6101218661330501
EREGL,KRDMD,0.600238359883109,0.8198569556624177
EREGL,SISE,0.8004040670168374,0.6796766647514529
PGSUS,THYAO,0.6719915685161478,0.7742136659216037
SASA,HEKTS,0.8630609624260444,0.627562887568115
BIMAS,MGROS,0.7602846579244227,0.7109836194623718
BIMAS,KCHOL,0.7956953969903413,0.6834344176041915
BIMAS,MPARK,0.9843191246878648,0.5155579303868578
TKFEN,VESBE,0.8819772098788229,0.6110581006271834
TKFEN,OTKAR,0.921005821168815,0.5758741386865784
TKFEN,GUBRF,0.9783972541376477,0.5213694065479557
PAPIL,TTKOM,0.9521491197095738,0.5467060269181419
PAPIL,DGATE,0.9991258154101555,0.500873802490496
AGHOL,DOHOL,0.9684565133613625,0.5310459908639765
AKSA,TTRAK,0.9168006910026247,0.5797382464885549
SISE,SAHOL,0.6654466092006054,0.7785904051517084
SISE,PETKM,0.7865100012373851,0.6907010089767842
SISE,TUPRS,0.7882208344885451,0.6893539580390908
SISE,ARCLK,0.8052442076869722,0.6757908829932902
SISE,BRISA,0.9553506004075574,0.5436526151504598
LOGO,INDES,0.9492617502271853,0.5494510647778105
AGESA,ANHYT,0.9662973511860676,0.5331347145453947
ODAS,ZOREN,0.9384527399204324,0.5596532274679167
ODAS,AKSEN,0.9456759802002072,0.5528484702361887
YKBNK,AKBNK,0.49413240534715686,0.8779165829929165
YKBNK,ISCTR,0.5358716427736755,0.8564207912355212
PETKM,ALARK,0.9592035566280355,0.5399642684760636
VESTL,VESBE,0.7342370836866708,0.7304479524696463
VESTL,ULKER,0.8784899010913578,0.6141277468402482
SAHOL,KCHOL,0.5382258235791771,0.8551564814162582
SAHOL,DOHOL,0.7344678394917861,0.730278496376134
SAHOL,THYAO,0.7506658205685337,0.718250412915085
SAHOL,TCELL,0.8139313849342009,0.6687578503095468
SAHOL,ENJSA,0.8622682509065861,0.6282467317392484
VESBE,TTKOM,0.7995898456626611,0.6803280393565809
VESBE,EGEEN,0.956586845718288,0.5424708032993681
SKBNK,VAKBN,0.8467577448495047,0.6415006607686906
SKBNK,ISGYO,0.9542523940787104,0.5447011841975248
INDES,ENJSA,0.8982557724885348,0.5965682835955128
SOKM,MGROS,0.7676606369393352,0.7053485732469471
TAVHL,THYAO,0.64525624233232,0.7918221908655871
TAVHL,TKNSA,0.9348217391248506,0.563054158029795
TCELL,TTKOM,0.6279949349465385,0.8028111808407464
TCELL,AKFGY,0.9673352753541772,0.5321312325277291
VAKBN,HALKB,0.37935644900065074,0.9280443423008083
VAKBN,AKBNK,0.7254653963997064,0.7368499793133084
KCHOL,AKBNK,0.7125626046860378,0.7461272672015247
TKNSA,BRYAT,1.011690250192698,0.4882414188325179
TTKOM,ASELS,0.716822784324294,0.7430825479367833
TTKOM,ECILC,0.9204084741106415,0.5764241203926603
TTKOM,CEMTS,0.9344132074807904,0.5634359788427308
TTKOM,ENKAI,0.9432602186064798,0.555130079997228
TTRAK,ENJSA,0.8899075128460298,0.6040323092900968
TUPRS,AYGAZ,0.7930244933909838,0.6855560764409867
KRDMD,EKGYO,0.8656699617940528,0.6253077586237417
KRDMD,BUCIM,0.8789421760996577,0.6137303255365991
BERA,ENJSA,1.0047403785489468,0.49524838585665953
BRSAN,BRYAT,0.7942609677698098,0.6845747575386826
BUCIM,CIMSA,0.734748983668055,0.7300719654993801
DOAS,ENJSA,0.9597354968793856,0.5394538880148394
ANHYT,DOHOL,0.918289510786557,0.578372187189693
ASUZU,ECILC,1.0489830701588667,0.449817259260039
AKSEN,ALARK,0.9693687784726741,0.5301620856611978
AKSEN,HEKTS,1.0452085782035219,0.4537695140248862
AKBNK,GARAN,0.517793609245041,0.8659448891124969
