ticker_a,ticker_b,pair_id
BRSAN,BRYAT,BRSAN_BRYAT
YKBNK,AKBNK,YKBNK_AKBNK
SAHOL,ISCTR,SAHOL_ISCTR
SAHOL,AKBNK,SAHOL_AKBNK
AGHOL,SAHOL,AGHOL_SAHOL
KCHOL,KRDMD,KCHOL_KRDMD
YKBNK,VAKBN,YKBNK_VAKBN
PETKM,KRDMD,PETKM_KRDMD
KCHOL,ISCTR,KCHOL_ISCTR
SAHOL,KCHOL,SAHOL_KCHOL
KCHOL,AKBNK,KCHOL_AKBNK
SAHOL,KRDMD,SAHOL_KRDMD
KCHOL,TUPRS,KCHOL_TUPRS
SISE,KRDMD,SISE_KRDMD
VAKBN,EKGYO,VAKBN_EKGYO
TUPRS,AYGAZ,TUPRS_AYGAZ
TTKOM,AKBNK,TTKOM_AKBNK
VESTL,VESBE,VESTL_VESBE
SISE,PETKM,SISE_PETKM
EKGYO,HALKB,EKGYO_HALKB
