source,target,te_forward,te_backward,net_te,dominant_direction
AGHOL,BRYAT,0.013942,0.0,0.013942,AGHOL->BRYAT
AYGAZ,ODAS,0.0,0.013449,-0.013449,ODAS->AYGAZ
MGROS,TCELL,0.0,0.013216,-0.013216,TCELL->MGROS
CIMSA,ENJSA,0.012429,0.0,0.012429,CIMSA->ENJSA
CIMSA,MPARK,0.012351,0.0,0.012351,CIMSA->MPARK
BRSAN,BUCIM,0.0,0.012013,-0.012013,BUCIM->BRSAN
ENKAI,DGATE,0.01197,0.0,0.01197,ENKAI->DGATE
SKBNK,KRDMD,0.011933,0.0,0.011933,SKBNK->KRDMD
VESTL,EKGYO,0.0,0.011883,-0.011883,EKGYO->VESTL
THYAO,TUPRS,0.0,0.011869,-0.011869,TUPRS->THYAO
DOAS,MPARK,0.011745,0.0,0.011745,DOAS->MPARK
GARAN,TOASO,0.011678,0.0,0.011678,GARAN->TOASO
ASUZU,GUBRF,0.011673,0.0,0.011673,ASUZU->GUBRF
AGESA,ASELS,0.0,0.011642,-0.011642,ASELS->AGESA
FROTO,ENKAI,0.0,0.01148,-0.01148,ENKAI->FROTO
ALARK,ZOREN,0.011419,0.0,0.011419,ALARK->ZOREN
BRYAT,VESBE,0.0,0.011363,-0.011363,VESBE->BRYAT
BRISA,ARCLK,0.0,0.011221,-0.011221,ARCLK->BRISA
PGSUS,AKSEN,0.011015,0.0,0.011015,PGSUS->AKSEN
BERA,MPARK,0.010961,0.0,0.010961,BERA->MPARK
ANHYT,ASELS,0.010876,0.0,0.010876,ANHYT->ASELS
AKSA,GARAN,0.010872,0.0,0.010872,AKSA->GARAN
ALARK,SKBNK,0.0,0.010842,-0.010842,SKBNK->ALARK
FROTO,SISE,0.0,0.010711,-0.010711,SISE->FROTO
BERA,BRISA,0.010688,0.0,0.010688,BERA->BRISA
CIMSA,BIMAS,0.0,0.01066,-0.01066,BIMAS->CIMSA
AYGAZ,DGATE,0.010584,0.0,0.010584,AYGAZ->DGATE
ECILC,TKNSA,0.010574,0.0,0.010574,ECILC->TKNSA
MPARK,TAVHL,0.01046,0.0,0.01046,MPARK->TAVHL
BRYAT,MGROS,0.010452,0.0,0.010452,BRYAT->MGROS
BRYAT,HEKTS,0.0,0.010438,-0.010438,HEKTS->BRYAT
ANHYT,TTRAK,0.0,0.010438,-0.010438,TTRAK->ANHYT
AKSA,THYAO,0.0,0.010366,-0.010366,THYAO->AKSA
MGROS,KCHOL,0.0,0.010329,-0.010329,KCHOL->MGROS
TKNSA,TTRAK,0.0,0.010319,-0.010319,TTRAK->TKNSA
OYAKC,ZOREN,0.0,0.01031,-0.01031,ZOREN->OYAKC
ULKER,TCELL,0.0,0.010294,-0.010294,TCELL->ULKER
OYAKC,ENJSA,0.010287,0.0,0.010287,OYAKC->ENJSA
AGHOL,DOAS,0.0,0.010279,-0.010279,DOAS->AGHOL
ASELS,PETKM,0.0,0.010174,-0.010174,PETKM->ASELS
EGEEN,DOAS,0.0,0.010136,-0.010136,DOAS->EGEEN
PAPIL,TCELL,0.0,0.010098,-0.010098,TCELL->PAPIL
CCOLA,PAPIL,0.010092,0.0,0.010092,CCOLA->PAPIL
ALARK,ENJSA,0.0,0.010078,-0.010078,ENJSA->ALARK
VESTL,GUBRF,0.010022,0.0,0.010022,VESTL->GUBRF
VAKBN,TUPRS,0.0,0.010009,-0.010009,TUPRS->VAKBN
PGSUS,ECILC,0.009983,0.0,0.009983,PGSUS->ECILC
OYAKC,ECILC,0.009967,0.0,0.009967,OYAKC->ECILC
ALARK,TTRAK,0.0,0.00995,-0.00995,TTRAK->ALARK
TURSG,ULKER,0.0,0.009933,-0.009933,ULKER->TURSG
BRYAT,SISE,0.0,0.009932,-0.009932,SISE->BRYAT
TURSG,EKGYO,0.0,0.009931,-0.009931,EKGYO->TURSG
AGHOL,SAHOL,0.0,0.009921,-0.009921,SAHOL->AGHOL
AGHOL,MPARK,0.009907,0.0,0.009907,AGHOL->MPARK
ASUZU,VESBE,0.0,0.009888,-0.009888,VESBE->ASUZU
PAPIL,AKFGY,0.009885,0.0,0.009885,PAPIL->AKFGY
AYGAZ,ENJSA,0.0,0.009883,-0.009883,ENJSA->AYGAZ
CCOLA,SKBNK,0.0,0.00986,-0.00986,SKBNK->CCOLA
BRISA,ISCTR,0.0,0.009857,-0.009857,ISCTR->BRISA
TURSG,INDES,0.009852,0.0,0.009852,TURSG->INDES
VESTL,SAHOL,0.0,0.009852,-0.009852,SAHOL->VESTL
ANHYT,YKBNK,0.009822,0.0,0.009822,ANHYT->YKBNK
ARCLK,ODAS,0.009816,0.0,0.009816,ARCLK->ODAS
ASELS,AYGAZ,0.009803,0.0,0.009803,ASELS->AYGAZ
ENJSA,HALKB,0.0,0.009765,-0.009765,HALKB->ENJSA
VESBE,EKGYO,0.009762,0.0,0.009762,VESBE->EKGYO
SAHOL,TTKOM,0.009751,0.0,0.009751,SAHOL->TTKOM
BRISA,SISE,0.0,0.009747,-0.009747,SISE->BRISA
MGROS,SAHOL,0.0,0.009709,-0.009709,SAHOL->MGROS
AKSA,ECILC,0.0,0.009699,-0.009699,ECILC->AKSA
DOAS,BERA,0.009684,0.0,0.009684,DOAS->BERA
AKBNK,SOKM,0.009682,0.0,0.009682,AKBNK->SOKM
BRYAT,CIMSA,0.0,0.009682,-0.009682,CIMSA->BRYAT
TURSG,AYGAZ,0.0,0.009665,-0.009665,AYGAZ->TURSG
CIMSA,SOKM,0.0,0.009651,-0.009651,SOKM->CIMSA
GUBRF,TOASO,0.0,0.00965,-0.00965,TOASO->GUBRF
OYAKC,VAKBN,0.009645,0.0,0.009645,OYAKC->VAKBN
KCHOL,TTKOM,0.009633,0.0,0.009633,KCHOL->TTKOM
AGESA,MPARK,0.0,0.009633,-0.009633,MPARK->AGESA
EREGL,ARCLK,0.009627,0.0,0.009627,EREGL->ARCLK
BRYAT,VESTL,0.0,0.009626,-0.009626,VESTL->BRYAT
BERA,INDES,0.009624,0.0,0.009624,BERA->INDES
FROTO,OTKAR,0.0,0.009619,-0.009619,OTKAR->FROTO
FROTO,HEKTS,0.0,0.009587,-0.009587,HEKTS->FROTO
ANHYT,THYAO,0.0,0.009581,-0.009581,THYAO->ANHYT
BRSAN,TUPRS,0.0,0.009558,-0.009558,TUPRS->BRSAN
BRYAT,GUBRF,0.0,0.00954,-0.00954,GUBRF->BRYAT
