ticker,sector,te_out,te_in,net_te_flow,role
THYAO,Airlines,0.168201,0.039309,0.128892,source
BERA,Conglomerates,0.182223,0.064912,0.11731,source
DOAS,Automotive,0.134925,0.046348,0.088578,source
TUPRS,Energy,0.115912,0.037169,0.078743,source
SISE,Industrials,0.112129,0.03835,0.073779,source
PETKM,Chemicals,0.109396,0.036735,0.072661,source
KCHOL,Conglomerates,0.08789,0.018571,0.069318,source
TCELL,Telecommunications,0.135515,0.074422,0.061093,source
OYAKC,Building Materials,0.103073,0.042935,0.060137,source
EREGL,Steel,0.06576,0.007887,0.057873,source
AEFES,Beverages,0.075595,0.017768,0.057827,source
BTCIM,Building Materials,0.065348,0.007629,0.057719,source
ENKAI,Construction,0.098852,0.044174,0.054678,source
AKBNK,Banking,0.103145,0.049213,0.053932,source
SAHOL,Conglomerates,0.08747,0.035863,0.051607,source
SKBNK,Banking,0.104415,0.054264,0.05015,source
BIMAS,Retail,0.056919,0.007868,0.049051,source
TOASO,Automotive,0.103538,0.055593,0.047945,source
VESBE,Consumer Durables,0.108282,0.062202,0.046079,source
TTRAK,Industrials,0.081194,0.037535,0.043659,source
GARAN,Banking,0.104116,0.06422,0.039896,source
MAVI,Retail,0.055138,0.015809,0.039329,source
OTKAR,Defense,0.071816,0.033104,0.038712,source
DOHOL,Conglomerates,0.061455,0.023878,0.037576,source
KRDMD,Steel,0.05535,0.02579,0.029561,source
PGSUS,Airlines,0.066718,0.040713,0.026005,source
CCOLA,Beverages,0.05698,0.031064,0.025916,source
ISGYO,REIT,0.077524,0.054168,0.023356,source
ODAS,Energy,0.078217,0.05554,0.022677,source
HEKTS,Chemicals,0.100219,0.078573,0.021646,source
EGEEN,Automotive,0.070829,0.055309,0.01552,source
INDES,Technology,0.05263,0.04247,0.01016,source
CEMTS,Steel,0.055342,0.04574,0.009602,source
LOGO,Technology,0.030447,0.024132,0.006315,source
AGHOL,Conglomerates,0.091513,0.086778,0.004736,source
ECILC,Pharmaceuticals,0.085312,0.08062,0.004691,source
TAVHL,Transportation,0.021211,0.017544,0.003667,source
ISCTR,Banking,0.071014,0.0688,0.002214,source
AKSA,Chemicals,0.092891,0.095336,-0.002445,sink
SOKM,Retail,0.081974,0.085819,-0.003844,sink
VAKBN,Banking,0.052054,0.057385,-0.005331,sink
TKFEN,Construction,0.05657,0.063533,-0.006963,sink
BUCIM,Building Materials,0.090326,0.100561,-0.010235,sink
ZOREN,Energy,0.063691,0.074976,-0.011285,sink
ASUZU,Automotive,0.08109,0.093954,-0.012864,sink
VESTL,Consumer Durables,0.064359,0.078719,-0.01436,sink
ARCLK,Consumer Durables,0.081503,0.096568,-0.015065,sink
SASA,Chemicals,0.053538,0.068986,-0.015448,sink
AKFGY,REIT,0.068969,0.085493,-0.016524,sink
EKGYO,REIT,0.046631,0.063412,-0.016781,sink
HALKB,Banking,0.040534,0.061596,-0.021062,sink
TTKOM,Telecommunications,0.088281,0.112035,-0.023754,sink
YKBNK,Banking,0.048988,0.077926,-0.028938,sink
PAPIL,Defense,0.055121,0.084318,-0.029197,sink
ALARK,Conglomerates,0.049914,0.079187,-0.029273,sink
CIMSA,Building Materials,0.078024,0.107852,-0.029828,sink
TURSG,Insurance,0.056592,0.086471,-0.029879,sink
ASELS,Defense,0.071347,0.11162,-0.040273,sink
FROTO,Automotive,0.052813,0.103512,-0.050699,sink
GUBRF,Chemicals,0.041234,0.096035,-0.054801,sink
BRSAN,Steel,0.058093,0.115225,-0.057132,sink
ULKER,Food,0.089872,0.147135,-0.057264,sink
TKNSA,Retail,0.045956,0.11082,-0.064864,sink
DGATE,Technology,0.015858,0.090252,-0.074394,sink
AKSEN,Energy,0.015096,0.090426,-0.07533,sink
ANHYT,Insurance,0.056226,0.13414,-0.077914,sink
ENJSA,Energy,0.080782,0.162375,-0.081593,sink
AYGAZ,Energy,0.085453,0.168964,-0.083512,sink
BRISA,Automotive,0.049346,0.134179,-0.084833,sink
MGROS,Retail,0.033126,0.12113,-0.088004,sink
AGESA,Insurance,0.046973,0.14784,-0.100867,sink
MPARK,Healthcare,0.044221,0.21957,-0.17535,sink
BRYAT,Conglomerates,0.05283,0.245535,-0.192705,sink
