ticker_1,ticker_2,correlation,sector_1,sector_2,rank_type
AKBNK,YKBNK,0.8594526131555335,Banking,Banking,top
AKBNK,GARAN,0.8485596679697697,Banking,Banking,top
YKBNK,ISCTR,0.843848878626279,Banking,Banking,top
AKBNK,ISCTR,0.8433883599849962,Banking,Banking,top
VAKBN,HALKB,0.8343968535866869,Banking,Banking,top
GARAN,YKBNK,0.8011830893263783,Banking,Banking,top
GARAN,ISCTR,0.7932560714673527,Banking,Banking,top
PGSUS,THYAO,0.7755057396231612,Airlines,Airlines,top
KCHOL,SAHOL,0.7754050897974765,Conglomerates,Conglomerates,top
EREGL,KRDMD,0.7293187343235588,Steel,Steel,top
CCOLA,HEKTS,0.06607976161329211,Beverages,Chemicals,bottom
CCOLA,GUBRF,0.07394869525690739,Beverages,Chemicals,bottom
CCOLA,LOGO,0.07401792174763258,Beverages,Technology,bottom
CCOLA,ECILC,0.07926597018712966,Beverages,Pharmaceuticals,bottom
CCOLA,YKBNK,0.08150163622944773,Beverages,Banking,bottom
CCOLA,BRSAN,0.08485552300908232,Beverages,Steel,bottom
CCOLA,CEMTS,0.08589333876884116,Beverages,Steel,bottom
CCOLA,BRYAT,0.08765989453984667,Beverages,Conglomerates,bottom
CCOLA,GARAN,0.08938361036388774,Beverages,Banking,bottom
CCOLA,BERA,0.09153369192772613,Beverages,Conglomerates,bottom
