source,target,distance,correlation
AEFES,TAVHL,0.6299394078784314,0.8015881712008857
TURSG,ZOREN,0.601730240318578,0.8189603589430732
TURSG,ECILC,0.731124587271065,0.7327284189438574
MAVI,GARAN,0.6005346017234402,0.8196790960664345
FROTO,TTRAK,0.46551672041477893,0.8916470915071343
OYAKC,SOKM,0.550369574016648,0.8485466659983667
EREGL,KRDMD,0.45988564534482257,0.894252596602888
PGSUS,DOAS,0.4300036697666718,0.9075484219935975
PGSUS,THYAO,0.5125009504633804,0.8686713878870659
PGSUS,AKFGY,0.5221212213492429,0.8636947151083875
SASA,BERA,0.8941083448542979,0.6002851338309539
SASA,BTCIM,0.930428356750774,0.5671515364770272
CCOLA,SAHOL,0.6236751539820916,0.8055146511527072
BIMAS,MGROS,0.4229285558147775,0.9105657183382133
TKFEN,DOHOL,0.6397662477388001,0.7953495741271082
PAPIL,TTKOM,0.9148196615951686,0.5815524933794506
AGHOL,TAVHL,0.5354213570695975,0.8566619851968753
AKSA,TOASO,0.6504694202348775,0.7884447666696511
DGATE,VESTL,0.5664467053453094,0.8395690650017221
SISE,ARCLK,0.4636220745692187,0.8925272859860669
SISE,ENKAI,0.8887003587297932,0.6051058361967684
LOGO,TTKOM,0.6904386964382812,0.7616472032303035
AGESA,ANHYT,0.4848640415214832,0.8824534306197267
AGESA,GUBRF,0.6503538849902583,0.7885199121390389
MPARK,DOHOL,0.3320171188103893,0.9448823164084239
MPARK,CIMSA,0.439619778187685,0.9033672253131053
MPARK,ULKER,0.5250791729127174,0.8621459310866483
MPARK,BRSAN,0.6123347843044575,0.8125230559654067
ODAS,ASUZU,0.6241068653497029,0.8052453103116839
ZOREN,CIMSA,0.49462272513484073,0.8776741798900919
YKBNK,AKBNK,0.3789265826547008,0.9282073224788151
PETKM,DOHOL,0.5153443819516484,0.8672100839954368
VESTL,AYGAZ,0.4195344192785264,0.9119954355203148
VESTL,INDES,0.5142017395758386,0.8677982855085907
SAHOL,AKBNK,0.3202282077668743,0.9487269474752078
SAHOL,HALKB,0.3851782314387393,0.9258188650128625
SAHOL,KCHOL,0.42770200545091736,0.9085354972666317
SAHOL,TAVHL,0.4657376419432908,0.8915442244385515
SAHOL,EKGYO,0.5668606052656942,0.8393345270989054
VESBE,AYGAZ,0.45892983789859854,0.894691701943183
SKBNK,BRSAN,0.6671278044977678,0.7774702462329941
SOKM,MGROS,0.42875468604650724,0.9080847095965805
TAVHL,AKSEN,0.5455905004442654,0.851165502912488
TCELL,HALKB,0.49933038210179576,0.8753345847550373
VAKBN,HALKB,0.42992595713194187,0.9075818356920918
KCHOL,ENJSA,0.4116177584773804,0.9152854104530285
KCHOL,TOASO,0.52999421533894,0.8595530658536307
KCHOL,BRYAT,0.5409296887827174,0.8536975358967163
ULKER,ANHYT,0.4063033270867881,0.9174588031991032
TKNSA,ECILC,0.8374962719871142,0.6492999972038428
TOASO,OTKAR,0.6351236003889991,0.7983090061144575
TTKOM,DOHOL,0.5351459547688427,0.8568094035472719
TTRAK,AYGAZ,0.4159579139058595,0.9134895069295428
TTRAK,ALARK,0.4287807306292582,0.9080735425205197
TUPRS,GUBRF,0.6892473404645955,0.762469051831241
KRDMD,ASELS,0.6817942776770723,0.7675782814633996
KRDMD,OTKAR,0.7293579049778973,0.7340185232231262
MGROS,CIMSA,0.4578519363001996,0.895185802213079
ISGYO,ENJSA,0.5945001659238314,0.8232847763582685
EGEEN,ENJSA,0.6887366149474194,0.762820937615385
ARCLK,ENJSA,0.5454718303903485,0.8512302411253014
AYGAZ,DOAS,0.45431757308234644,0.8967977713942834
AYGAZ,ENJSA,0.48062370251047054,0.8845004282925634
BERA,ASUZU,0.5693771734778765,0.837904817161172
BRISA,DOAS,0.49526023818597187,0.8773586482359872
BUCIM,CIMSA,0.38856746172246664,0.9245076638452797
CEMTS,DOHOL,0.5856304176842144,0.8285185069415063
DOHOL,ENJSA,0.4721564433261117,0.8885341465128181
ASUZU,AKFGY,0.4603425249946979,0.894042379840753
AKBNK,ISCTR,0.44112574764385293,0.9027040373828259
AKBNK,GARAN,0.4995361275645529,0.8752318286289054
AKFGY,HEKTS,0.4910007034217646,0.8794591546196662
