ticker,degree,betweenness_centrality,sector
SISE,8,0.5391236306729265,Industrials
TAVHL,8,0.5614241001564946,Transportation
INDES,5,0.5727699530516432,Technology
LOGO,5,0.5884194053208138,Technology
ISCTR,4,0.3196400625978091,Banking
AEFES,4,0.15923317683881064,Beverages
THYAO,3,0.05516431924882629,Airlines
MGROS,3,0.05516431924882629,Retail
ENKAI,3,0.05516431924882629,Construction
TOASO,3,0.20657276995305165,Automotive
EKGYO,3,0.5348200312989045,REIT
BUCIM,3,0.05516431924882629,Building Materials
SAHOL,3,0.05516431924882629,Conglomerates
GARAN,3,0.3822378716744914,Banking
VESTL,3,0.08176838810641628,Consumer Durables
ODAS,3,0.05516431924882629,Energy
ULKER,2,0.10641627543035995,Food
ALARK,2,0.02777777777777778,Conglomerates
TTKOM,2,0.02777777777777778,Telecommunications
TTRAK,2,0.08098591549295775,Industrials
KRDMD,2,0.054773082942097026,Steel
ENJSA,2,0.08098591549295775,Energy
ISGYO,2,0.02777777777777778,REIT
HALKB,2,0.054773082942097026,Banking
BRISA,2,0.08098591549295775,Automotive
KCHOL,2,0.38028169014084506,Conglomerates
BRSAN,2,0.02777777777777778,Steel
CIMSA,2,0.054773082942097026,Building Materials
DOHOL,2,0.02777777777777778,Conglomerates
AKBNK,2,0.02777777777777778,Banking
GUBRF,2,0.02777777777777778,Chemicals
HEKTS,2,0.02777777777777778,Chemicals
ARCLK,2,0.02777777777777778,Consumer Durables
OTKAR,2,0.054773082942097026,Defense
VAKBN,2,0.08098591549295775,Banking
EREGL,2,0.02777777777777778,Steel
OYAKC,2,0.02777777777777778,Building Materials
AGHOL,2,0.054773082942097026,Conglomerates
SOKM,2,0.02777777777777778,Retail
SKBNK,1,0.0,Banking
CCOLA,1,0.0,Beverages
ECILC,1,0.0,Pharmaceuticals
TKFEN,1,0.0,Construction
AKSEN,1,0.0,Energy
BIMAS,1,0.0,Retail
BTCIM,1,0.0,Building Materials
AKFGY,1,0.0,REIT
SASA,1,0.0,Chemicals
PAPIL,1,0.0,Defense
PGSUS,1,0.0,Airlines
TURSG,1,0.0,Insurance
FROTO,1,0.0,Automotive
MAVI,1,0.0,Retail
ASELS,1,0.0,Defense
ASUZU,1,0.0,Automotive
ANHYT,1,0.0,Insurance
VESBE,1,0.0,Consumer Durables
AYGAZ,1,0.0,Energy
TUPRS,1,0.0,Energy
PETKM,1,0.0,Chemicals
YKBNK,1,0.0,Banking
ZOREN,1,0.0,Energy
EGEEN,1,0.0,Automotive
MPARK,1,0.0,Healthcare
BERA,1,0.0,Conglomerates
DOAS,1,0.0,Automotive
AGESA,1,0.0,Insurance
DGATE,1,0.0,Technology
BRYAT,1,0.0,Conglomerates
AKSA,1,0.0,Chemicals
CEMTS,1,0.0,Steel
TCELL,1,0.0,Telecommunications
TKNSA,1,0.0,Retail
