ticker,cluster_id,sector
AEFES,3,Beverages
TURSG,5,Insurance
MAVI,3,Retail
FROTO,7,Automotive
OYAKC,16,Building Materials
EREGL,8,Steel
PGSUS,6,Airlines
SASA,13,Chemicals
CCOLA,20,Beverages
BTCIM,14,Building Materials
BIMAS,2,Retail
TKFEN,9,Construction
PAPIL,15,Defense
AGHOL,3,Conglomerates
AKSA,18,Chemicals
DGATE,17,Technology
SISE,8,Industrials
LOGO,17,Technology
AGESA,5,Insurance
MPARK,3,Healthcare
ODAS,18,Energy
ZOREN,18,Energy
YKBNK,1,Banking
PETKM,8,Chemicals
VESTL,18,Consumer Durables
SAHOL,8,Conglomerates
VESBE,18,Consumer Durables
SKBNK,4,Banking
INDES,17,Technology
SOKM,2,Retail
TAVHL,6,Transportation
TCELL,9,Telecommunications
THYAO,6,Airlines
VAKBN,1,Banking
KCHOL,8,Conglomerates
ULKER,3,Food
TKNSA,18,Retail
TOASO,7,Automotive
TTKOM,9,Telecommunications
TTRAK,7,Industrials
TUPRS,8,Energy
KRDMD,8,Steel
MGROS,2,Retail
ISGYO,4,REIT
EGEEN,7,Automotive
ARCLK,8,Consumer Durables
AYGAZ,7,Energy
BERA,19,Conglomerates
BRISA,7,Automotive
BRSAN,12,Steel
BRYAT,12,Conglomerates
BUCIM,16,Building Materials
CEMTS,18,Steel
CIMSA,16,Building Materials
DOAS,19,Automotive
ANHYT,5,Insurance
DOHOL,8,Conglomerates
ASUZU,19,Automotive
ECILC,10,Pharmaceuticals
EKGYO,8,REIT
AKSEN,18,Energy
AKBNK,1,Banking
ISCTR,1,Banking
AKFGY,19,REIT
HEKTS,13,Chemicals
HALKB,1,Banking
ENJSA,8,Energy
GUBRF,11,Chemicals
GARAN,1,Banking
ALARK,18,Conglomerates
ENKAI,9,Construction
ASELS,9,Defense
OTKAR,7,Defense
