source,target,distance,correlation
AEFES,KCHOL,0.935902020675865,0.5620437038474163
TURSG,SISE,0.9588894901055062,0.5402654728826012
MAVI,SISE,0.9255714081358933,0.5716587842206697
FROTO,SISE,0.936621587018463,0.5613700013655079
OYAKC,SISE,0.9546849080202078,0.5442883631992237
EREGL,SISE,0.923099701021934,0.573943470986608
PGSUS,SISE,0.9312309634970984,0.5664044463121328
SASA,SISE,0.9810670427689288,0.5187537287963144
CCOLA,SISE,1.1670633113035036,0.3189816137046507
BTCIM,VESBE,1.0203774204630995,0.4794149599045354
BIMAS,KCHOL,0.9328824031192321,0.5648652109752432
TKFEN,SISE,0.9446432643130463,0.553824551593996
PAPIL,VESBE,1.0439857444518006,0.4550468826907099
AGHOL,SISE,0.9241280864781689,0.572993639891099
AKSA,VESBE,0.9508283074196225,0.5479627649047679
DGATE,VESBE,0.9838646285198993,0.5160051963737002
SISE,KCHOL,0.9005880821618899,0.5944705531339846
SISE,THYAO,0.9056347218606455,0.5899128752801956
SISE,ARCLK,0.9110171358471373,0.5850238890964393
SISE,PETKM,0.9132535359457179,0.5829839895413217
SISE,DOHOL,0.913584506901136,0.5826816743751041
SISE,TAVHL,0.9199691623062158,0.5768283702027998
SISE,ENJSA,0.9219085932707299,0.5750422728267919
SISE,KRDMD,0.9231449497977865,0.5739017008314211
SISE,VESBE,0.9236067291043464,0.5734753049765853
SISE,TOASO,0.9241711270526419,0.5729538639611248
SISE,VESTL,0.9292718079029167,0.5682269535184223
SISE,MGROS,0.9319286994167606,0.5657544496016925
SISE,TTRAK,0.9349721295498007,0.5629135584825553
SISE,SOKM,0.9380788670366145,0.5600040196096508
SISE,ULKER,0.9380976229899595,0.5599864248702939
SISE,ASELS,0.938405484662572,0.5596975731776017
SISE,AKSEN,0.9438124372328457,0.5546090416622979
SISE,ENKAI,0.9499392561872883,0.5488077047771708
SISE,ISGYO,0.9539422709111522,0.5449970718844369
SISE,AYGAZ,0.9557633134204113,0.5432582443598183
SISE,ANHYT,0.9563185963958701,0.5427273710937164
SISE,MPARK,0.976739674679076,0.5229898039539064
SISE,AGESA,0.9791805296752708,0.5206027451524281
SISE,GUBRF,0.9907083157113823,0.509248516590158
SISE,HEKTS,1.026098098028792,0.4735613466108479
LOGO,VESBE,0.9642392720636298,0.5351213131051007
ODAS,VESBE,0.9506693805313189,0.5481138644600992
ZOREN,VESBE,0.9393005318477149,0.5588572554353
YKBNK,AKBNK,0.8653314702869577,0.6256007232655061
SAHOL,KCHOL,0.875853633971668,0.6164402059293117
SAHOL,ISCTR,0.8859912244967167,0.6075097750574042
SAHOL,SKBNK,0.9298933384994247,0.5676491895071972
VESBE,ALARK,0.9334914934303852,0.5642968158465546
VESBE,INDES,0.9399498998430361,0.5582470928925332
VESBE,BUCIM,0.9402653954607192,0.5579504930495487
VESBE,CIMSA,0.9442335880263363,0.5542114656214555
VESBE,BRISA,0.9452584926773195,0.553243191010701
VESBE,CEMTS,0.9481287423133637,0.5505259439996395
VESBE,OTKAR,0.9502211230722198,0.5485399086336846
VESBE,EGEEN,0.9516609126395756,0.547170753677005
VESBE,DOAS,0.9554924209201027,0.5435171167821207
VESBE,ASUZU,0.9617667001723507,0.5375024072197939
VESBE,TKNSA,0.9700205111640193,0.5295301039605473
VESBE,ECILC,0.9741535861697574,0.5255123952763004
VESBE,AKFGY,0.9780481386988207,0.5217109191938862
VESBE,BERA,0.9833320843494919,0.5165290059444418
VESBE,BRYAT,0.9851156606014986,0.5147735676188365
VESBE,BRSAN,0.9873865859353066,0.5125338649575097
TCELL,KCHOL,0.9123112600796687,0.5838440823659236
VAKBN,AKBNK,0.8774436522568162,0.6150463185571097
KCHOL,TTKOM,0.9126962146058561,0.5834928099220705
KCHOL,EKGYO,0.9170281978033038,0.5795296422168124
KCHOL,TUPRS,0.9218145552854784,0.5751289628319178
AKBNK,ISCTR,0.8617268999042268,0.6287133749907253
AKBNK,GARAN,0.8695704232776469,0.621923639480367
AKBNK,HALKB,0.8916311202322558,0.6024969727166863
