source,target,distance,correlation
AEFES,AGHOL,0.8154455586399656,0.6675242704471772
AEFES,CCOLA,1.1921502863033944,0.28938884743336735
TURSG,VESBE,0.942531117672092,0.5558175461098985
MAVI,KCHOL,0.8353601149353126,0.6510867391876307
MAVI,MPARK,0.951438069088875,0.5473828003442166
FROTO,TOASO,0.7775353069512888,0.6977194232220826
FROTO,KCHOL,0.7987936620522964,0.6809643427325408
OYAKC,CIMSA,0.8142990641102448,0.6684585170945897
EREGL,KRDMD,0.6555415605193944,0.7851326312158986
EREGL,SISE,0.7725006449608949,0.7016213767675007
PGSUS,THYAO,0.5863793293338069,0.8280796410650174
SASA,SISE,0.95599407131981,0.5430376678006871
SASA,HEKTS,0.9778859844539076,0.5218695007043059
BTCIM,BUCIM,1.0353796335142191,0.4639945072519806
BIMAS,MGROS,0.7718645655236934,0.70211254624446
BIMAS,SAHOL,0.8442464152680049,0.6436239951535617
TKFEN,PETKM,0.8843980322129245,0.6089200603089535
PAPIL,CEMTS,1.0697103958324394,0.4278598345240029
AGHOL,MGROS,0.8426268480269017,0.6449899974921244
AKSA,AKSEN,0.901841916815699,0.5933405785370929
DGATE,INDES,0.8764308760530518,0.61593445975044
SISE,KCHOL,0.7301997694243388,0.7334041483663212
SISE,THYAO,0.7503343922580066,0.7184991498974039
SISE,PETKM,0.7794774745805922,0.6962074333107311
SISE,DOHOL,0.7826251452286233,0.6937489410279382
SISE,ENKAI,0.8650572065842534,0.6258380146683241
SISE,CIMSA,0.875053408128184,0.617140766461625
SISE,BRISA,0.9042385356823127,0.5911763352935534
LOGO,INDES,0.9328369115103305,0.5649076482619338
AGESA,ANHYT,0.8864784715078892,0.6070779597765182
ODAS,ZOREN,0.8264973722289822,0.6584510468492936
ZOREN,PETKM,0.8592047627629477,0.6308835878227335
YKBNK,AKBNK,0.46354314398189017,0.8925638768336923
PETKM,AKSEN,0.8705716676828914,0.6210524857139147
VESTL,VESBE,0.725397780887607,0.7368990297416677
SAHOL,KCHOL,0.5709691558413228,0.8369971115389236
SAHOL,AKBNK,0.6502807726985482,0.7885674583292895
SAHOL,TTKOM,0.7922487946024328,0.6861709237254962
SAHOL,ENJSA,0.8203015356758949,0.6635526952838843
SAHOL,EKGYO,0.82293342251437,0.6613902910543927
SAHOL,ANHYT,0.9433353361526395,0.5550592217828932
VESBE,ARCLK,0.8049750591331626,0.6760075770867807
VESBE,EGEEN,0.8880430949437905,0.6056897307613269
VESBE,INDES,0.8895844221517923,0.6043197779324309
VESBE,TKNSA,0.9356747861114465,0.5622563473176494
VESBE,BERA,0.9882170451215075,0.5117135358656582
VESBE,GUBRF,0.9970038317712644,0.5029916797167082
SKBNK,ISCTR,0.8479384305881204,0.6405002089658777
SKBNK,ISGYO,0.9139213593279061,0.5823738744821162
SOKM,MGROS,0.751330979189375,0.7177508798551675
SOKM,ULKER,0.8681420737095924,0.6231646699276043
TAVHL,THYAO,0.6441395297851035,0.7925421330841129
TCELL,TTKOM,0.7035100226495303,0.7525368240158287
VAKBN,HALKB,0.5006998115077353,0.8746498493780591
VAKBN,ISCTR,0.6451024672305467,0.7919214033865307
KCHOL,ARCLK,0.7471008528900325,0.720920157805493
KCHOL,TUPRS,0.768855748000209,0.7044304193835196
KCHOL,TTRAK,0.8342979465298715,0.6519734682080198
KCHOL,ALARK,0.8658907733120889,0.6251165843464964
TTKOM,ASELS,0.8579514023020569,0.631959695643967
TTRAK,DOAS,0.8990331842092133,0.5958696668453214
TTRAK,OTKAR,0.900957334231939,0.594137940946839
TUPRS,AYGAZ,0.8739887346820376,0.6180718458244454
EGEEN,BRYAT,0.9730723583886242,0.5265650926700005
ARCLK,AKFGY,0.9814858898344844,0.5183427240279052
BRSAN,BRYAT,0.6804362462067296,0.7685032574240475
BUCIM,CIMSA,0.8309464939857302,0.6547639620664114
BUCIM,CEMTS,0.8712159449447255,0.6204913886370345
DOAS,ASUZU,0.95347637816167,0.5454413981438521
DOHOL,ECILC,0.9757984834296167,0.52390865986823
AKBNK,GARAN,0.4814012651699008,0.8841264109464094
AKBNK,ISCTR,0.48395536449340304,0.8828936025890287
