ticker_1,ticker_2,correlation,sector_1,sector_2,rank_type
YKBNK,AKBNK,0.8925638768336923,Banking,Banking,top
AKBNK,GARAN,0.8841264109464094,Banking,Banking,top
AKBNK,ISCTR,0.8828936025890287,Banking,Banking,top
YKBNK,ISCTR,0.879758704476595,Banking,Banking,top
VAKBN,HALKB,0.8746498493780591,Banking,Banking,top
YKBNK,GARAN,0.8484472967310663,Banking,Banking,top
ISCTR,GARAN,0.8427031680455803,Banking,Banking,top
SAHOL,KCHOL,0.8369971115389236,Conglomerates,Conglomerates,top
PGSUS,THYAO,0.8280796410650174,Airlines,Airlines,top
TAVHL,THYAO,0.7925421330841129,Transportation,Airlines,top
CCOLA,HEKTS,0.14843098056014345,Beverages,Chemicals,bottom
CCOLA,GUBRF,0.15941466818384462,Beverages,Chemicals,bottom
CCOLA,BRSAN,0.17221656836600785,Beverages,Steel,bottom
CCOLA,BRYAT,0.1779260054762823,Beverages,Conglomerates,bottom
CCOLA,ECILC,0.17970313487872397,Beverages,Pharmaceuticals,bottom
CCOLA,BERA,0.1799596874332132,Beverages,Conglomerates,bottom
CCOLA,CEMTS,0.18215947686382322,Beverages,Steel,bottom
CCOLA,LOGO,0.18344271187870184,Beverages,Technology,bottom
CCOLA,YKBNK,0.18711006936348074,Beverages,Banking,bottom
CCOLA,TKNSA,0.1890688885965379,Beverages,Retail,bottom
