ticker,cluster_id,sector
AEFES,19,Beverages
TURSG,10,Insurance
MAVI,19,Retail
FROTO,16,Automotive
OYAKC,4,Building Materials
EREGL,15,Steel
PGSUS,11,Airlines
SASA,3,Chemicals
CCOLA,20,Beverages
BTCIM,5,Building Materials
BIMAS,18,Retail
TKFEN,13,Construction
PAPIL,6,Defense
AGHOL,19,Conglomerates
AKSA,7,Chemicals
DGATE,9,Technology
SISE,15,Industrials
LOGO,9,Technology
AGESA,17,Insurance
MPARK,19,Healthcare
ODAS,7,Energy
ZOREN,7,Energy
YKBNK,1,Banking
PETKM,15,Chemicals
VESTL,8,Consumer Durables
SAHOL,15,Conglomerates
VESBE,8,Consumer Durables
SKBNK,12,Banking
INDES,9,Technology
SOKM,18,Retail
TAVHL,11,Transportation
TCELL,13,Telecommunications
THYAO,11,Airlines
VAKBN,1,Banking
KCHOL,15,Conglomerates
ULKER,19,Food
TKNSA,10,Retail
TOASO,16,Automotive
TTKOM,13,Telecommunications
TTRAK,16,Industrials
TUPRS,15,Energy
KRDMD,15,Steel
MGROS,18,Retail
ISGYO,12,REIT
EGEEN,8,Automotive
ARCLK,15,Consumer Durables
AYGAZ,16,Energy
BERA,10,Conglomerates
BRISA,8,Automotive
BRSAN,2,Steel
BRYAT,2,Conglomerates
BUCIM,4,Building Materials
CEMTS,7,Steel
CIMSA,4,Building Materials
DOAS,8,Automotive
ANHYT,17,Insurance
DOHOL,15,Conglomerates
ASUZU,8,Automotive
ECILC,14,Pharmaceuticals
EKGYO,15,REIT
AKSEN,7,Energy
AKBNK,1,Banking
ISCTR,1,Banking
AKFGY,10,REIT
HEKTS,3,Chemicals
HALKB,1,Banking
ENJSA,15,Energy
GUBRF,14,Chemicals
GARAN,1,Banking
ALARK,7,Conglomerates
ENKAI,13,Construction
ASELS,13,Defense
OTKAR,16,Defense
