source,target,distance,correlation
AEFES,AGHOL,0.877730557620032,0.6147945341100138
AEFES,CCOLA,1.2370653845820556,0.23483461713442533
TURSG,VESBE,1.0179688598517402,0.481869700186074
MAVI,KCHOL,0.9224348163285061,0.5745570048124976
MAVI,MPARK,1.0145673930608667,0.4853265024688384
FROTO,TOASO,0.8328516944356561,0.6531790275378283
OYAKC,CIMSA,0.8766461206643141,0.6157457895621044
EREGL,KRDMD,0.698977921155543,0.7557149328685377
EREGL,SISE,0.8391935048210664,0.6478771307330674
PGSUS,THYAO,0.6324914929665245,0.7999772556624885
SASA,SISE,1.0056279031784532,0.49435626017445383
SASA,HEKTS,1.0223130977889776,0.47743796504455205
BTCIM,ODAS,1.0898020852125534,0.40616570753318537
BIMAS,MGROS,0.842377275113048,0.6452002631865581
BIMAS,SAHOL,0.9147948693290862,0.5815751735245901
TKFEN,PETKM,0.9514757364535403,0.5473469614700965
PAPIL,ASELS,1.115430567766412,0.37790732424615
AGHOL,MGROS,0.914489475505445,0.581854499594888
AKSA,AKSEN,0.984281688300875,0.5155947790377895
DGATE,INDES,0.9430673958394025,0.5553119434523439
SISE,KCHOL,0.799881388561468,0.6800948821164889
SISE,PETKM,0.8441925952358159,0.6436694310745089
SISE,DOHOL,0.8459907619207933,0.6421498153723378
SISE,ENKAI,0.9552666582157778,0.5437328058506301
SISE,BRISA,0.9827413238034771,0.5171097452444947
LOGO,INDES,1.0002567585067144,0.49974320853082016
AGESA,ANHYT,0.9583950278967953,0.5407394852513505
ODAS,ZOREN,0.8705427315699276,0.6210776762553846
ODAS,BERA,1.044672657832329,0.4543295189887687
ZOREN,PETKM,0.9172124982033243,0.5793606165698084
ZOREN,AKSEN,0.9319286230022051,0.5657545208146069
YKBNK,AKBNK,0.4888297163135435,0.8805227542244103
VESTL,VESBE,0.7835308489583511,0.6930397043653028
SAHOL,KCHOL,0.6182427139297587,0.8088879733363833
SAHOL,AKBNK,0.6898770926593099,0.762034798511969
SAHOL,TTKOM,0.8425016766457043,0.6450954624245886
SAHOL,EKGYO,0.8765576394834962,0.6158233523315606
SAHOL,ENJSA,0.8873086950304616,0.6063416398616697
SAHOL,ANHYT,1.014653615093745,0.4852390206885971
VESBE,ARCLK,0.8717997084836323,0.6199826341439268
VESBE,INDES,0.9666645192643167,0.5327798535977437
VESBE,EGEEN,0.9714148239676715,0.5281766198879289
VESBE,TKNSA,0.9897990830556985,0.5101488875910493
VESBE,GUBRF,1.0483612660878088,0.4504693278833834
SKBNK,ISCTR,0.8961921759557632,0.5984197918778372
SKBNK,ISGYO,0.9698523573571671,0.5296932024643729
SOKM,MGROS,0.806121423193667,0.6750841255341085
SOKM,ULKER,0.9253015409544626,0.5719085291536485
TAVHL,THYAO,0.70258686567065,0.753185848093546
TCELL,TTKOM,0.744525968676952,0.7228405409828231
THYAO,KCHOL,0.8159065575420521,0.667148244679939
VAKBN,HALKB,0.5347096346966811,0.8570428032812709
VAKBN,ISCTR,0.6865736066936298,0.7643083412958505
KCHOL,ARCLK,0.809244164962032,0.6725619407374518
KCHOL,TUPRS,0.8324575783570529,0.6535071901179555
KCHOL,TOASO,0.8617581051089834,0.6286864841394871
KCHOL,TTRAK,0.9099988895901439,0.5859510104723525
KCHOL,ALARK,0.9379161168507626,0.5601566788757933
TTKOM,ASELS,0.9126020838965416,0.5835787182338448
TTRAK,DOAS,0.96226492400793,0.5370231080120064
TTRAK,OTKAR,0.964851143183787,0.5345311357484698
TUPRS,AYGAZ,0.9336339739568585,0.564163801336762
KRDMD,CIMSA,0.9415382452453362,0.5567528663701665
EGEEN,BRYAT,1.0153839370497082,0.48449773019071724
BRSAN,BRYAT,0.7089296536280586,0.7487093731034005
BUCIM,CIMSA,0.888804255325976,0.6050134978572187
BUCIM,CEMTS,0.9326444115183884,0.5650872008317595
DOAS,ASUZU,1.0122676227705594,0.48765712994522015
DOHOL,ECILC,1.0417552363317817,0.45737301378765677
EKGYO,AKFGY,1.0460296151508022,0.45291102211373235
AKBNK,GARAN,0.5052334138039649,0.8723695987879958
AKBNK,ISCTR,0.5141087772648726,0.8678460825696088
