ticker_1,ticker_2,correlation,sector_1,sector_2,rank_type
YKBNK,AKBNK,0.8805227542244103,Banking,Banking,top
AKBNK,GARAN,0.8723695987879958,Banking,Banking,top
AKBNK,ISCTR,0.8678460825696088,Banking,Banking,top
YKBNK,ISCTR,0.8667209786715563,Banking,Banking,top
VAKBN,HALKB,0.8570428032812709,Banking,Banking,top
YKBNK,GARAN,0.8302511964935799,Banking,Banking,top
ISCTR,GARAN,0.8254615458933233,Banking,Banking,top
SAHOL,KCHOL,0.8088879733363833,Conglomerates,Conglomerates,top
PGSUS,THYAO,0.7999772556624885,Airlines,Airlines,top
VAKBN,ISCTR,0.7643083412958505,Banking,Banking,top
CCOLA,HEKTS,0.10202269305378621,Beverages,Chemicals,bottom
CCOLA,GUBRF,0.1181046238213491,Beverages,Chemicals,bottom
CCOLA,BRSAN,0.12527594626858077,Beverages,Steel,bottom
CCOLA,LOGO,0.12572383387710126,Beverages,Technology,bottom
CCOLA,CEMTS,0.12618748675905211,Beverages,Steel,bottom
CCOLA,ECILC,0.12669513709408714,Beverages,Pharmaceuticals,bottom
CCOLA,BRYAT,0.13119684408803528,Beverages,Conglomerates,bottom
CCOLA,YKBNK,0.13462188450884202,Beverages,Banking,bottom
CCOLA,BERA,0.13675134392249508,Beverages,Conglomerates,bottom
CCOLA,GARAN,0.14417120453142115,Beverages,Banking,bottom
