,BIST,S&P-100
N,73,100
D_eff,6.516809299775096,5.899640141030456
n_signal_eigenvalues,4,6
signal_variance_share,0.46893504928009044,0.5752972865919447
top_eigenvalue_share,0.3816322182125785,0.39754029905396526
delta_entropy_nats,21.530387734429965,43.19065649527577
n_pairs,2628,4950
mean_corr,0.3645227730101713,0.37902373528909056
median_corr,0.36274966001378595,0.3706440625343912
std_corr,0.09388730759949308,0.1321135946226828
max_abs_corr,0.8594526131555335,0.9186192680624274
mean_gaussian_mi_nats,0.07869988404990816,0.09296908021273045
max_gaussian_mi_nats,0.6709642118739887,0.9285054731269027
sum_gaussian_mi_nats,206.82329528315864,460.1969470530157
top_mst_hubs,KCHOL (0.72); SISE (0.59); SAHOL (0.52),BRK-B (0.75); BAC (0.54); JPM (0.48)
mst_sector_purity,0.4027777777777778,0.696969696969697
glasso_n_edges,736,470
glasso_sector_purity,0.125,0.40638297872340423
te_n_edges,609,1023
te_sector_purity,0.06239737274220033,0.11436950146627566
2020-03-11_before,,
2020-03-11_during,0.546812392207869,0.7268284899275123
2020-03-11_after,0.3890989428384415,0.5980652857171664
2022-02-24_before,0.43710502822036146,0.2549047058150027
2022-02-24_during,0.48996613079393786,0.30871878854577095
2022-02-24_after,0.32233660404059494,0.41986428765967665
2023-02-06_before,0.3175869830745005,0.44425943667525924
2023-02-06_during,0.6222786982599837,0.3322611885446491
2023-02-06_after,0.536167634856326,0.29983536694985935
