ticker,total_days,available_days,coverage_pct
FC5,593280,593280,1.0
FC3,593280,593280,1.0
FC1,593280,593280,1.0
FCz,593280,593280,1.0
FC2,593280,593280,1.0
FC4,593280,593280,1.0
FC6,593280,593280,1.0
C5,593280,593280,1.0
C3,593280,593280,1.0
C1,593280,593280,1.0
Cz,593280,593280,1.0
C2,593280,593280,1.0
C4,593280,593280,1.0
C6,593280,593280,1.0
CP5,593280,593280,1.0
CP3,593280,593280,1.0
CP1,593280,593280,1.0
CPz,593280,593280,1.0
CP2,593280,593280,1.0
CP4,593280,593280,1.0
CP6,593280,593280,1.0
Fp1,593280,593280,1.0
Fpz,593280,593280,1.0
Fp2,593280,593280,1.0
AF7,593280,593280,1.0
AF3,593280,593280,1.0
AFz,593280,593280,1.0
AF4,593280,593280,1.0
AF8,593280,593280,1.0
F7,593280,593280,1.0
F5,593280,593280,1.0
F3,593280,593280,1.0
F1,593280,593280,1.0
Fz,593280,593280,1.0
F2,593280,593280,1.0
F4,593280,593280,1.0
F6,593280,593280,1.0
F8,593280,593280,1.0
FT7,593280,593280,1.0
FT8,593280,593280,1.0
T7,593280,593280,1.0
T8,593280,593280,1.0
T9,593280,593280,1.0
T10,593280,593280,1.0
TP7,593280,593280,1.0
TP8,593280,593280,1.0
P7,593280,593280,1.0
P5,593280,593280,1.0
P3,593280,593280,1.0
P1,593280,593280,1.0
Pz,593280,593280,1.0
P2,593280,593280,1.0
P4,593280,593280,1.0
P6,593280,593280,1.0
P8,593280,593280,1.0
PO7,593280,593280,1.0
PO3,593280,593280,1.0
POz,593280,593280,1.0
PO4,593280,593280,1.0
PO8,593280,593280,1.0
O1,593280,593280,1.0
Oz,593280,593280,1.0
O2,593280,593280,1.0
Iz,593280,593280,1.0
