ticker,cluster_id,sector
FC5,8,Frontal
FC3,8,Frontal
FC1,8,Frontal
FCz,8,Frontal
FC2,8,Frontal
FC4,8,Frontal
FC6,8,Frontal
C5,2,Central
C3,2,Central
C1,2,Central
Cz,2,Central
C2,1,Central
C4,1,Central
C6,1,Central
CP5,2,Centroparietal
CP3,2,Centroparietal
CP1,2,Centroparietal
CPz,2,Centroparietal
CP2,1,Centroparietal
CP4,1,Centroparietal
CP6,1,Centroparietal
Fp1,6,Frontopolar
Fpz,6,Frontopolar
Fp2,6,Frontopolar
AF7,6,Frontal
AF3,6,Frontal
AFz,6,Frontal
AF4,6,Frontal
AF8,6,Frontal
F7,6,Frontal
F5,6,Frontal
F3,7,Frontal
F1,7,Frontal
Fz,7,Frontal
F2,7,Frontal
F4,7,Frontal
F6,6,Frontal
F8,6,Frontal
FT7,5,Temporal
FT8,4,Temporal
T7,5,Temporal
T8,4,Temporal
T9,5,Temporal
T10,4,Temporal
TP7,5,Temporal
TP8,4,Temporal
P7,3,Parietal
P5,3,Parietal
P3,3,Parietal
P1,3,Parietal
Pz,3,Parietal
P2,3,Parietal
P4,3,Parietal
P6,3,Parietal
P8,3,Parietal
PO7,3,Parieto-occipital
PO3,3,Parieto-occipital
POz,3,Parieto-occipital
PO4,3,Parieto-occipital
PO8,3,Parieto-occipital
O1,3,Occipital
Oz,3,Occipital
O2,3,Occipital
Iz,3,Occipital
