source,target,distance,correlation
FC5,FC3,0.762681812813991,0.7091582262013822
FC3,FC1,0.750189729502308,0.718607684874627
FC1,FCz,0.7354486690176435,0.7295576276200884
FCz,FC2,0.7553886143262674,0.7146940206731208
FCz,Cz,0.8317522196930662,0.6540941225178286
FC2,FC4,0.7486315211624757,0.7197754227609788
FC4,FC6,0.7505111754234751,0.7183664877822369
FC4,F4,0.9627837047589041,0.5365237689253597
C5,C3,0.8160198246683729,0.667055822874099
C3,C1,0.7647358665007701,0.7075895272436582
C1,Cz,0.7004933635534397,0.7546545238087943
Cz,C2,0.728773488736633,0.7344446010573183
Cz,CPz,0.7872489039618078,0.6901195816054662
C2,C4,0.7405245743702318,0.7258116773768936
C4,C6,0.7883445845547428,0.689256408001605
CP5,CP3,0.7614849440629136,0.7100703399827507
CP3,CP1,0.7035545434930995,0.7525055021651081
CP1,CPz,0.673012755282684,0.773526915613405
CPz,CP2,0.6909149221124717,0.7613182852011585
CP2,CP4,0.6915916143551846,0.7608505194767948
CP4,CP6,0.7535270331753139,0.7160985051370047
CP4,P4,0.8229205547568398,0.6614008802793475
Fp1,Fpz,0.645597067162066,0.7916022134358695
Fp1,AF7,0.67021122479993,0.7754084570760889
Fp1,AF3,0.6894824535009813,0.7623069731571336
Fpz,Fp2,0.6507399688748084,0.7882687464544067
Fp2,AF8,0.7154332719057704,0.744077616725102
AF7,F7,0.8134333416665896,0.6691630993325626
AF3,AFz,0.7389808176042795,0.7269536756064553
AF3,F5,0.8062982962218208,0.6749415287548944
AFz,F1,0.7658090307815285,0.706768264186728
AF4,AF8,0.7113146402097468,0.7470157413116393
AF4,F8,0.8344948655550818,0.651809159681103
F3,F1,0.6912404228563435,0.7610933389046918
F1,Fz,0.6580407164937491,0.7834912077181967
Fz,F2,0.6836012225551004,0.7663446842605861
F2,F4,0.7057908760942477,0.7509296196110571
F6,F8,0.8312856354824445,0.6544820961202742
FT7,T7,0.9187282086255831,0.5779692393378135
FT8,T8,0.9614574800745587,0.5377997570043398
T7,T9,0.7918331108050942,0.6865001623163637
T8,TP8,0.7944605362519351,0.6844162281691438
T8,T10,0.8283727470960442,0.6568992959342765
T9,TP7,0.7557605010618885,0.7144130325173416
TP7,P7,0.7477796342812254,0.7204128092771184
TP8,P8,0.7715117477649576,0.7023848115303303
P7,P5,0.684239961053677,0.7659078378486313
P5,P3,0.675780510880293,0.7716603505571851
P3,P1,0.6619692084376951,0.7808983835401857
P1,Pz,0.6589630021291111,0.7828838809124946
Pz,P2,0.650160247548937,0.7886458262535525
P2,P4,0.6605433495653562,0.7818412416724898
P4,PO4,0.6645678255036008,0.7791748026527078
P6,PO8,0.6683064814880916,0.7766832234005036
P6,P8,0.6729683527881879,0.7735567980727766
PO7,PO3,0.6548533403279869,0.7855835513306388
PO3,O1,0.6560373989324519,0.7848074656009715
POz,Oz,0.6774032193800036,0.7705624391868033
PO4,PO8,0.6578650070646218,0.7836068162399326
PO4,O2,0.6641858441481083,0.7794285822166324
O1,Oz,0.651945846892662,0.7874833063597049
Oz,O2,0.6648909656770685,0.7789600018805076
Oz,Iz,0.6863277185837058,0.7644771313518428
