ticker,degree,betweenness_centrality,sector
Cz,4,0.5852534562211982,Central
Oz,4,0.15207373271889402,Occipital
F1,3,0.3389656938044035,Frontal
T8,3,0.0629800307219662,Temporal
P4,3,0.5632360471070148,Parietal
Fp1,3,0.23143881208397338,Frontopolar
PO4,3,0.3763440860215054,Parieto-occipital
CP4,3,0.5110087045570917,Centroparietal
CPz,3,0.5524833589349718,Centroparietal
AF3,3,0.27598566308243727,Frontal
FC4,3,0.42345110087045573,Frontal
FCz,3,0.5017921146953405,Frontal
C2,2,0.06246799795186892,Central
Fz,2,0.35125448028673834,Frontal
F2,2,0.3686635944700461,Frontal
F4,2,0.38504864311315923,Frontal
P8,2,0.12083973374295955,Parietal
F8,2,0.031746031746031744,Frontal
P6,2,0.148489503328213,Parietal
T7,2,0.031746031746031744,Temporal
C1,2,0.06246799795186892,Central
FC1,2,0.06246799795186892,Frontal
T9,2,0.06246799795186892,Temporal
P2,2,0.2488479262672811,Parietal
TP7,2,0.09216589861751152,Temporal
TP8,2,0.09216589861751152,Temporal
P7,2,0.12083973374295955,Parietal
P5,2,0.148489503328213,Parietal
P3,2,0.17511520737327188,Parietal
FC3,2,0.031746031746031744,Frontal
PO3,2,0.031746031746031744,Parieto-occipital
FC2,2,0.4280593958013313,Frontal
O2,2,0.17511520737327188,Occipital
C4,2,0.031746031746031744,Central
O1,2,0.06246799795186892,Occipital
PO8,2,0.17511520737327188,Parieto-occipital
CP3,2,0.031746031746031744,Centroparietal
CP1,2,0.06246799795186892,Centroparietal
C3,2,0.031746031746031744,Central
CP2,2,0.5017921146953405,Centroparietal
P1,2,0.2007168458781362,Parietal
Fpz,2,0.148489503328213,Frontopolar
Fp2,2,0.12083973374295955,Frontopolar
AF7,2,0.031746031746031744,Frontal
Pz,2,0.22529441884280593,Parietal
AFz,2,0.2928827444956477,Frontal
AF4,2,0.06246799795186892,Frontal
AF8,2,0.09216589861751152,Frontal
POz,1,0.0,Parieto-occipital
PO7,1,0.0,Parieto-occipital
FC5,1,0.0,Frontal
T10,1,0.0,Temporal
FT8,1,0.0,Temporal
FT7,1,0.0,Temporal
F6,1,0.0,Frontal
F3,1,0.0,Frontal
F5,1,0.0,Frontal
F7,1,0.0,Frontal
CP6,1,0.0,Centroparietal
CP5,1,0.0,Centroparietal
C6,1,0.0,Central
C5,1,0.0,Central
FC6,1,0.0,Frontal
Iz,1,0.0,Occipital
