source,target,distance,correlation
FC5,FC3,0.7041125584153191,0.7521127525409169
FC3,FC1,0.6249716501956619,0.8047052182258556
FC1,FCz,0.5699632222296828,0.8375709626527786
FCz,FC2,0.6072902359090945,0.8155992846847382
FCz,Cz,0.7357271276475592,0.729352796821736
FC2,FC4,0.6166825260960546,0.8098513310038945
FC4,FC6,0.6735616286033916,0.7731573662365734
FC4,F4,0.9345232188601681,0.5633331767056152
C5,C3,0.847783630929016,0.640631457564407
C3,C1,0.664207199987028,0.779414397742696
C1,Cz,0.5202065377557331,0.8646925790380965
Cz,C2,0.6064566206471462,0.8161051836366217
Cz,CPz,0.6522129730398829,0.7873091188992385
C2,C4,0.6376843370567344,0.7966793431362565
C4,C6,0.7585692186491034,0.7122863702590444
CP5,CP3,0.6951840152041493,0.7583595925023185
CP3,CP1,0.522372743108043,0.8635633586288892
CP1,CPz,0.44974867027014526,0.8988630667951181
CPz,CP2,0.5371060772926549,0.8557585308676483
CPz,Pz,0.7105988283868544,0.7475246525476149
CP2,CP4,0.5711132031423581,0.8369148545982378
CP4,CP6,0.6891247551253931,0.7625535359366835
Fp1,Fpz,0.387609717434131,0.9248793534753166
Fp1,AF7,0.5220113949693788,0.8637520517610616
Fpz,Fp2,0.3826586464184052,0.926786180160617
Fpz,AFz,0.6134608331291214,0.8118329031082622
Fpz,AF3,0.6227001902110538,0.8061222365555587
Fp2,AF8,0.654020766794629,0.7861284183006828
Fp2,AF4,0.731853215342258,0.7321954355965993
AF7,F7,0.826706930129579,0.6582778258378638
AF3,F5,0.8528208806995966,0.6363482727213822
AFz,Fz,0.606230419618216,0.8162423391647609
AF4,F8,0.8933343413341269,0.6009768772965608
AF4,F6,0.9230931470103971,0.5739495209712207
F3,F1,0.5288608699344394,0.860153090126094
F1,Fz,0.3886988024044089,0.9244566205046891
Fz,F2,0.4792377916654761,0.8851655695197989
F2,F4,0.470919965978826,0.8891171928212507
F8,FT8,1.1105547010545704,0.3833341279827968
FT7,T7,1.0420958146408663,0.4570181565539945
T7,T9,0.9430679202053225,0.5553114489398038
T8,TP8,0.9229654502279173,0.574067388842789
T9,TP7,0.8072059598526709,0.6742092691891641
T10,P8,1.0081539547228278,0.4918128017883613
TP7,P7,0.7073095315668712,0.7498566132773267
TP8,P8,0.7421743639861577,0.7245886067208712
P7,P5,0.5261599217648953,0.8615778683641796
P5,P3,0.4826838245601103,0.8835081627540123
P3,P1,0.41310175317971826,0.9146734707599216
P3,PO3,0.47181076245408066,0.8886973022162495
P1,Pz,0.3939275700762739,0.9224105347669012
Pz,P2,0.36602145536370395,0.933014147106718
Pz,POz,0.4741499716106689,0.887590902210801
P2,P4,0.41301611379896236,0.9147088448712013
P4,PO4,0.4534372396023168,0.8971973348709156
P6,PO4,0.47318281110251614,0.8880490136385603
P6,P8,0.47774226491301475,0.8858811641578914
PO7,PO3,0.42952638779611096,0.9077535410934124
PO3,O1,0.457961223508175,0.8951357588814477
PO4,PO8,0.43265250756006907,0.9064059038509922
O1,Oz,0.34309105343742735,0.9411442645255982
Oz,O2,0.41603941208659523,0.9134556037953201
Oz,Iz,0.45191208922067994,0.8978877318081001
