ticker,degree,betweenness_centrality,sector
CPz,4,0.5893497183819765,Centroparietal
Pz,4,0.5555555555555556,Parietal
Cz,4,0.5893497183819765,Central
Fpz,4,0.31131592421915,Frontopolar
AF4,3,0.0931899641577061,Frontal
PO3,3,0.15053763440860216,Parieto-occipital
PO4,3,0.17767537122375832,Parieto-occipital
Fz,3,0.3819764464925755,Frontal
Fp2,3,0.15053763440860216,Frontopolar
Oz,3,0.0629800307219662,Occipital
P3,3,0.3317972350230415,Parietal
FC4,3,0.43727598566308246,Frontal
FCz,3,0.511520737327189,Frontal
P8,3,0.0931899641577061,Parietal
FC3,2,0.031746031746031744,Frontal
F2,2,0.38504864311315923,Frontal
F4,2,0.40040962621607784,Frontal
F1,2,0.031746031746031744,Frontal
P6,2,0.12083973374295955,Parietal
F8,2,0.031746031746031744,Frontal
P2,2,0.22529441884280593,Parietal
T7,2,0.031746031746031744,Temporal
T9,2,0.06246799795186892,Temporal
P1,2,0.33282130056323606,Parietal
TP7,2,0.09216589861751152,Temporal
TP8,2,0.031746031746031744,Temporal
P7,2,0.12083973374295955,Parietal
P4,2,0.2007168458781362,Parietal
AF7,2,0.031746031746031744,Frontal
P5,2,0.148489503328213,Parietal
FC2,2,0.4403481822836662,Frontal
AFz,2,0.31336405529953915,Frontal
AF3,2,0.031746031746031744,Frontal
Fp1,2,0.06246799795186892,Frontopolar
CP4,2,0.031746031746031744,Centroparietal
CP2,2,0.06246799795186892,Centroparietal
CP1,2,0.06246799795186892,Centroparietal
CP3,2,0.031746031746031744,Centroparietal
FC1,2,0.06246799795186892,Frontal
O1,2,0.09216589861751152,Occipital
C4,2,0.031746031746031744,Central
C2,2,0.06246799795186892,Central
C1,2,0.06246799795186892,Central
C3,2,0.031746031746031744,Central
POz,1,0.0,Parieto-occipital
O2,1,0.0,Occipital
PO7,1,0.0,Parieto-occipital
PO8,1,0.0,Parieto-occipital
FC5,1,0.0,Frontal
T10,1,0.0,Temporal
T8,1,0.0,Temporal
FT8,1,0.0,Temporal
FT7,1,0.0,Temporal
F6,1,0.0,Frontal
F3,1,0.0,Frontal
F5,1,0.0,Frontal
F7,1,0.0,Frontal
AF8,1,0.0,Frontal
CP6,1,0.0,Centroparietal
CP5,1,0.0,Centroparietal
C6,1,0.0,Central
C5,1,0.0,Central
FC6,1,0.0,Frontal
Iz,1,0.0,Occipital
