source,target,partial_correlation,abs_partial_corr
Fp1,AF7,0.344509,0.344509
Fpz,Fp2,0.309134,0.309134
Fp2,AF8,0.294965,0.294965
Fp1,Fpz,0.284326,0.284326
AF7,F7,0.223029,0.223029
AF4,AF8,0.220821,0.220821
AF8,F8,0.187974,0.187974
Fp1,Fp2,0.157714,0.157714
Fpz,AF3,0.149241,0.149241
AF7,AF3,0.145286,0.145286
AF4,F6,0.142605,0.142605
Fp2,AF4,0.137029,0.137029
Fp1,AF3,0.116831,0.116831
Fpz,AF7,0.113116,0.113116
AF3,F5,0.110566,0.110566
Fpz,AFz,0.101593,0.101593
Fp2,AFz,0.087561,0.087561
Fpz,AF8,0.086885,0.086885
Fpz,AF4,0.086259,0.086259
Fp1,AFz,0.086039,0.086039
Fp2,AF7,0.078562,0.078562
AF4,F8,0.072491,0.072491
Fp2,AF3,0.070924,0.070924
Fp1,Iz,-0.068386,0.068386
Fp1,Oz,-0.064517,0.064517
Fp1,O2,-0.064117,0.064117
Fp1,PO8,-0.062709,0.062709
Fp1,PO4,-0.062505,0.062505
Fp1,O1,-0.060488,0.060488
Fp1,POz,-0.059627,0.059627
Fp1,P8,-0.057549,0.057549
Fp1,PO7,-0.05248,0.05248
Fp1,F7,0.050272,0.050272
Fp1,P6,-0.049311,0.049311
Fp1,PO3,-0.049214,0.049214
Fp2,O1,-0.046622,0.046622
Fp2,PO7,-0.046056,0.046056
Fp2,Iz,-0.044632,0.044632
Fp2,Oz,-0.042935,0.042935
Fp2,PO3,-0.041701,0.041701
Fp2,O2,-0.038757,0.038757
Fp2,POz,-0.037449,0.037449
Fp1,P4,-0.037312,0.037312
Fp1,F5,0.036417,0.036417
Fp2,P7,-0.036049,0.036049
Fp1,P2,-0.035205,0.035205
Fp1,AF4,0.034618,0.034618
Fp2,F6,0.034347,0.034347
Fp2,PO4,-0.033031,0.033031
Fp2,PO8,-0.031695,0.031695
Fp1,Pz,-0.031166,0.031166
Fp2,P5,-0.03028,0.03028
Fp1,AF8,0.028412,0.028412
Fp1,P7,-0.027988,0.027988
Fp1,P1,-0.026547,0.026547
Fp1,P5,-0.023801,0.023801
Fp1,TP8,-0.023697,0.023697
Fpz,Iz,-0.023299,0.023299
Fp1,T10,-0.02163,0.02163
AF3,AFz,0.021327,0.021327
Fp2,P3,-0.018773,0.018773
Fpz,F5,0.018156,0.018156
Fp1,P3,-0.017608,0.017608
Fp2,P1,-0.017518,0.017518
Fp2,P8,-0.015219,0.015219
Fpz,Oz,-0.01511,0.01511
Fpz,O1,-0.014593,0.014593
Fp2,Pz,-0.013951,0.013951
AF7,F5,0.013488,0.013488
Fp2,P2,-0.013158,0.013158
F6,F8,0.012778,0.012778
Fpz,O2,-0.012557,0.012557
Fp2,P6,-0.011672,0.011672
AF7,AF8,0.010508,0.010508
Fp2,P4,-0.010132,0.010132
