source,target,te_forward,te_backward,net_te,dominant_direction
CP3,Fpz,0.00799,0.020948,-0.012958,Fpz->CP3
CP4,Fpz,0.00797,0.020908,-0.012938,Fpz->CP4
Fpz,AF4,0.023795,0.011208,0.012588,Fpz->AF4
Fpz,PO3,0.018983,0.006934,0.012049,Fpz->PO3
Fpz,P3,0.019762,0.007714,0.012047,Fpz->P3
Fpz,PO4,0.018796,0.006762,0.012035,Fpz->PO4
CP3,Fp2,0.008652,0.020469,-0.011817,Fp2->CP3
Fpz,O1,0.018118,0.006398,0.011721,Fpz->O1
Fpz,P4,0.018239,0.00691,0.01133,Fpz->P4
Fp2,AF4,0.027551,0.016529,0.011022,Fp2->AF4
Fpz,P8,0.017344,0.006483,0.010862,Fpz->P8
Fpz,Oz,0.017425,0.006664,0.010761,Fpz->Oz
Fpz,P6,0.016151,0.005687,0.010463,Fpz->P6
CP1,Fpz,0.00806,0.018329,-0.010269,Fpz->CP1
Fpz,PO8,0.015227,0.005037,0.01019,Fpz->PO8
Fpz,PO7,0.016035,0.005855,0.01018,Fpz->PO7
Fpz,P2,0.016989,0.006844,0.010145,Fpz->P2
AFz,F4,0.016474,0.006441,0.010033,AFz->F4
Fpz,P1,0.01695,0.007027,0.009923,Fpz->P1
Fpz,P5,0.015338,0.005618,0.009721,Fpz->P5
Fpz,AFz,0.02416,0.014584,0.009576,Fpz->AFz
CP4,Fp1,0.010325,0.019831,-0.009507,Fp1->CP4
Fp2,P3,0.01882,0.009327,0.009493,Fp2->P3
Fp2,PO3,0.017375,0.007909,0.009466,Fp2->PO3
CPz,Fpz,0.008849,0.018232,-0.009383,Fpz->CPz
Fpz,O2,0.016277,0.006937,0.00934,Fpz->O2
Fpz,Pz,0.01673,0.007402,0.009327,Fpz->Pz
CP4,Fp2,0.009053,0.01837,-0.009317,Fp2->CP4
Fp2,O1,0.016662,0.007413,0.009249,Fp2->O1
CP3,Fp1,0.009403,0.018579,-0.009176,Fp1->CP3
