ticker,sector,te_out,te_in,net_te_flow,role
Fpz,Frontopolar,0.930421,0.497785,0.432636,source
Fp2,Frontopolar,0.914588,0.586502,0.328087,source
Fp1,Frontopolar,0.924306,0.637197,0.287109,source
AF3,Frontal,0.872718,0.694988,0.17773,source
AF7,Frontal,0.758035,0.590932,0.167103,source
AFz,Frontal,0.728376,0.572993,0.155383,source
AF8,Frontal,0.591941,0.483503,0.108437,source
FC6,Frontal,0.454278,0.378823,0.075455,source
Pz,Parietal,0.562144,0.501901,0.060242,source
C6,Central,0.513828,0.464608,0.049221,source
C5,Central,0.481709,0.440339,0.04137,source
T10,Temporal,0.50734,0.469289,0.038052,source
FC4,Frontal,0.335127,0.298684,0.036443,source
F7,Frontal,0.575734,0.547004,0.02873,source
CP2,Centroparietal,0.422953,0.397803,0.025151,source
AF4,Frontal,0.736337,0.712413,0.023924,source
P2,Parietal,0.529939,0.507081,0.022858,source
POz,Parieto-occipital,0.509372,0.487044,0.022328,source
T9,Temporal,0.548249,0.526848,0.021401,source
F8,Frontal,0.443116,0.425683,0.017433,source
C4,Central,0.569163,0.552259,0.016905,source
FCz,Frontal,0.223241,0.206761,0.01648,source
FC2,Frontal,0.237896,0.222039,0.015858,source
FC3,Frontal,0.334051,0.319283,0.014768,source
P1,Parietal,0.534512,0.522269,0.012243,source
C3,Central,0.563147,0.552026,0.011122,source
FC1,Frontal,0.27426,0.269139,0.005121,source
C2,Central,0.483791,0.479595,0.004196,source
FT8,Temporal,0.315783,0.317214,-0.001431,sink
F5,Frontal,0.579717,0.591153,-0.011436,sink
Cz,Central,0.495339,0.508516,-0.013176,sink
T8,Temporal,0.424571,0.438942,-0.01437,sink
CPz,Centroparietal,0.567972,0.582729,-0.014757,sink
FT7,Temporal,0.206652,0.228898,-0.022246,sink
T7,Temporal,0.359555,0.383149,-0.023594,sink
P4,Parietal,0.509631,0.540387,-0.030756,sink
C1,Central,0.497169,0.532398,-0.035229,sink
Fz,Frontal,0.455134,0.49311,-0.037975,sink
Iz,Occipital,0.516756,0.557904,-0.041148,sink
TP7,Temporal,0.390224,0.432643,-0.04242,sink
CP6,Centroparietal,0.480641,0.525639,-0.044998,sink
P3,Parietal,0.537552,0.58749,-0.049938,sink
TP8,Temporal,0.522844,0.576693,-0.053849,sink
F6,Frontal,0.55067,0.607094,-0.056424,sink
P5,Parietal,0.432124,0.491865,-0.059741,sink
F1,Frontal,0.487281,0.547231,-0.059951,sink
O2,Occipital,0.463255,0.524067,-0.060812,sink
FC5,Frontal,0.281632,0.342785,-0.061153,sink
CP4,Centroparietal,0.579061,0.643821,-0.06476,sink
CP1,Centroparietal,0.516354,0.586769,-0.070415,sink
CP5,Centroparietal,0.427786,0.49927,-0.071485,sink
P7,Parietal,0.445165,0.518112,-0.072947,sink
F2,Frontal,0.515463,0.590546,-0.075082,sink
F3,Frontal,0.511192,0.588341,-0.07715,sink
PO3,Parieto-occipital,0.473761,0.557736,-0.083975,sink
PO7,Parieto-occipital,0.44241,0.528359,-0.085949,sink
PO4,Parieto-occipital,0.475455,0.569934,-0.094479,sink
Oz,Occipital,0.454848,0.549887,-0.095039,sink
P6,Parietal,0.459334,0.554695,-0.09536,sink
PO8,Parieto-occipital,0.413423,0.524528,-0.111105,sink
F4,Frontal,0.522754,0.634015,-0.111261,sink
O1,Occipital,0.428773,0.542497,-0.113724,sink
CP3,Centroparietal,0.533792,0.655263,-0.121471,sink
P8,Parietal,0.464686,0.60086,-0.136174,sink
