ticker_1,ticker_2,correlation,sector_1,sector_2,rank_type
O1,Oz,0.9411442645255982,Occipital,Occipital,top
Pz,P2,0.933014147106718,Parietal,Parietal,top
Fpz,Fp2,0.926786180160617,Frontopolar,Frontopolar,top
Fp1,Fpz,0.9248793534753166,Frontopolar,Frontopolar,top
F1,Fz,0.9244566205046891,Frontal,Frontal,top
P1,Pz,0.9224105347669012,Parietal,Parietal,top
P2,P4,0.9147088448712013,Parietal,Parietal,top
P3,P1,0.9146734707599216,Parietal,Parietal,top
Oz,O2,0.9134556037953201,Occipital,Occipital,top
PO7,PO3,0.9077535410934124,Parieto-occipital,Parieto-occipital,top
AFz,Oz,-0.782113323457029,Frontal,Occipital,bottom
AFz,O1,-0.7728767169779993,Frontal,Occipital,bottom
AFz,PO3,-0.7637452866840191,Frontal,Parieto-occipital,bottom
AFz,Iz,-0.7618629613401118,Frontal,Occipital,bottom
AFz,O2,-0.7610810006765828,Frontal,Occipital,bottom
AFz,PO4,-0.7600635114836888,Frontal,Parieto-occipital,bottom
AFz,POz,-0.7581695083216096,Frontal,Parieto-occipital,bottom
AFz,P6,-0.7540484058963677,Frontal,Parietal,bottom
AFz,P2,-0.7535186030619146,Frontal,Parietal,bottom
AFz,P1,-0.7529780711969587,Frontal,Parietal,bottom
