source,target,distance,correlation
FC5,FC3,0.8750008817099111,0.6171867285034391
FC3,FC1,0.5814226536572403,0.8309738489070864
FC1,FCz,0.5195819518151448,0.8650172976739823
FC1,F1,0.7460730899565935,0.7216874722213104
FCz,FC2,0.5154822456713952,0.8671390271987877
FCz,Cz,0.6645956903308134,0.7791562841968548
FC2,FC4,0.6579833797822585,0.783528935965158
FC4,FC6,0.86702062112201,0.624137621274602
C5,T7,0.7432646915708471,0.7237787991320468
C3,C1,0.6976973270632706,0.7566092199043838
C1,Cz,0.4908624563066968,0.8795270244942781
Cz,C2,0.6055492124358339,0.8166550756591706
Cz,CPz,0.700743200688353,0.7544794833445213
C2,C4,0.6663878956752497,0.7779635862487563
C6,CP6,0.8268009332965902,0.6582001083499437
CP5,CP3,0.789737451346367,0.6881573789704724
CP3,CP1,0.5905922612629917,0.825600390468133
CP1,CPz,0.4769043394517079,0.8862811255060651
CPz,CP2,0.5794567538789476,0.8321149351920364
CP2,CP4,0.582516373898808,0.8303373370698921
CP4,P4,0.6157763019246207,0.8104097729940192
CP6,P6,0.7236999113832117,0.7381292191319658
Fp1,Fpz,0.29305978610402794,0.9570579808843307
Fp1,AF7,0.39206871575360724,0.9231410610636586
Fp1,AF3,0.4993100910731869,0.8753447164762429
Fpz,Fp2,0.3198087425398022,0.9488611840975553
Fp2,AF8,0.5639225407301154,0.8409956840282456
Fp2,AF4,0.5677040444435661,0.8388560589612087
AF3,AFz,0.6023762371935054,0.8185714344322969
AF3,F5,0.6963386616019221,0.7575562341792219
AFz,F1,0.5640742847617358,0.840910100635268
AF4,F6,0.6605145790808646,0.7818602454108141
F7,F5,0.759193198475342,0.71181284369439
F3,F1,0.4842919203648192,0.8827306679346778
F1,Fz,0.35281657041476294,0.9377602338203823
Fz,F2,0.42858006439072105,0.9081595642034227
F2,F4,0.3699134599179571,0.931582016085763
F6,F8,0.82493704610821,0.6597394349791306
FT7,T7,0.6947933266029684,0.7586311166539904
FT8,T8,0.7053515606984126,0.7512395879101568
T7,T9,0.5685676579398011,0.8383654091724246
T7,TP7,0.6746869093141256,0.7723987872000765
T8,TP8,0.6710106925963861,0.7748723252106591
T8,T10,0.7290387143752285,0.734251276471057
TP7,P7,0.6886091304332801,0.7629087327419609
TP8,P8,0.6054046643863547,0.8167425961696226
P7,PO7,0.558128140698011,0.8442464892804906
P5,PO7,0.5466657586361984,0.8505782741673549
P3,P1,0.4683601060635892,0.8903194055240518
P1,Pz,0.4542726557494653,0.8968181771191639
Pz,P2,0.39331583979726276,0.922651325082287
Pz,POz,0.5196070325648017,0.8650042658546006
P2,P4,0.4734659798153977,0.8879149829787227
P4,PO4,0.5092061340563033,0.870354556519717
P6,P8,0.5079234361999642,0.8710068914794105
P6,PO4,0.5233609591481325,0.8630466532197734
PO7,PO3,0.44162235549893725,0.9024848475617852
PO3,O1,0.4617768559410183,0.893381067658614
PO4,PO8,0.4599054065083082,0.8942435085322139
PO4,O2,0.50089635864442,0.8745514189483803
O1,Oz,0.4181472714366277,0.9125764296950516
Oz,O2,0.45663742892013154,0.8957411292546059
Oz,Iz,0.5767631850172733,0.8336721142043653
