ticker,degree,betweenness_centrality,sector
Oz,5,0.36968766001024067,Occipital
F1,4,0.420378904249872,Frontal
CPz,4,0.561699948796723,Centroparietal
T8,4,0.09370199692780339,Temporal
P7,4,0.20634920634920634,Parietal
Cz,4,0.5104966717869943,Central
PO4,4,0.5524833589349718,Parieto-occipital
T7,3,0.0931899641577061,Temporal
Pz,3,0.5524833589349718,Parietal
P4,3,0.5232974910394266,Parietal
Fp2,3,0.12237583205325141,Frontopolar
Fp1,3,0.0629800307219662,Frontopolar
P8,3,0.17767537122375832,Parietal
Fpz,3,0.23297491039426524,Frontopolar
FCz,3,0.4910394265232975,Frontal
O1,3,0.27598566308243727,Occipital
PO7,2,0.22529441884280593,Parieto-occipital
CP3,2,0.031746031746031744,Centroparietal
T9,2,0.12083973374295955,Temporal
FC1,2,0.4147465437788018,Frontal
FC2,2,0.06246799795186892,Frontal
FT7,2,0.031746031746031744,Temporal
F6,2,0.031746031746031744,Frontal
P3,2,0.031746031746031744,Parietal
F2,2,0.031746031746031744,Frontal
Fz,2,0.06246799795186892,Frontal
FC3,2,0.40040962621607784,Frontal
F3,2,0.06246799795186892,Frontal
F5,2,0.031746031746031744,Frontal
P1,2,0.06246799795186892,Parietal
FC4,2,0.031746031746031744,Frontal
AF4,2,0.06246799795186892,Frontal
AFz,2,0.2488479262672811,Frontal
P2,2,0.5017921146953405,Parietal
P6,2,0.2007168458781362,Parietal
CP4,2,0.031746031746031744,Centroparietal
CP1,2,0.06246799795186892,Centroparietal
TP8,2,0.12083973374295955,Temporal
O2,1,0.0,Occipital
TP7,1,0.0,Temporal
PO8,1,0.0,Parieto-occipital
P5,1,0.0,Parietal
POz,1,0.0,Parieto-occipital
PO3,1,0.0,Parieto-occipital
FC5,1,0.0,Frontal
T10,1,0.0,Temporal
CP5,1,0.0,Centroparietal
FC6,1,0.0,Frontal
C5,1,0.0,Central
C3,1,0.0,Central
C1,1,0.0,Central
C2,1,0.0,Central
C4,1,0.0,Central
C6,1,0.0,Central
CP2,1,0.0,Centroparietal
FT8,1,0.0,Temporal
CP6,1,0.0,Centroparietal
AF7,1,0.0,Frontal
AF3,1,0.0,Frontal
AF8,1,0.0,Frontal
F7,1,0.0,Frontal
F4,1,0.0,Frontal
F8,1,0.0,Frontal
Iz,1,0.0,Occipital
