date,ticker,return_value
2024-08-01,CCOLA,-2.3803200577674235
2024-09-09,HEKTS,-1.0454512763976378
2022-09-01,AYGAZ,0.545398349176531
2021-04-30,HEKTS,0.36541739460146555
2020-01-03,AEFES,
2020-01-03,AGHOL,
2020-01-03,AKSA,
2020-01-03,EREGL,
2020-01-03,FROTO,
2020-01-03,BTCIM,
2020-01-03,CCOLA,
2020-01-03,PAPIL,
2020-01-03,TURSG,
2020-01-03,TKFEN,
2020-01-03,OYAKC,
2020-01-03,PGSUS,
2020-01-03,SASA,
2020-01-03,MAVI,
2020-01-03,BRYAT,
2020-01-03,AKFGY,
2020-01-03,AGESA,
2020-01-03,AKBNK,
2020-01-03,ASUZU,
2020-01-03,AKSEN,
2020-01-03,ANHYT,
2020-01-03,ALARK,
2020-01-03,ENKAI,
2020-01-03,EGEEN,
2020-01-03,BRSAN,
2020-01-03,CEMTS,
2020-01-03,ECILC,
2020-01-03,DOHOL,
2020-01-03,CIMSA,
2020-01-03,DOAS,
2020-01-03,GARAN,
2020-01-03,BERA,
2020-01-03,BRISA,
2020-01-03,BIMAS,
2020-01-03,BUCIM,
2020-01-03,ASELS,
2020-01-03,AYGAZ,
2020-01-03,ARCLK,
2020-01-03,YKBNK,
2020-01-03,VAKBN,
2020-01-03,ULKER,
2020-01-03,VESTL,
2020-01-03,VESBE,
2020-01-03,ENJSA,
2020-01-03,EKGYO,
2020-01-03,GUBRF,
2020-01-03,MPARK,
2020-01-03,ODAS,
2020-01-03,MGROS,
2020-01-03,LOGO,
2020-01-03,ISGYO,
2020-01-03,KCHOL,
2020-01-03,HEKTS,
2020-01-03,HALKB,
2020-01-03,THYAO,
2020-01-03,SOKM,
2020-01-03,TCELL,
2020-01-03,TAVHL,
2020-01-03,SISE,
2020-01-03,SAHOL,
2020-01-03,SKBNK,
2020-01-03,PETKM,
2020-01-03,TKNSA,
2020-01-03,INDES,
2020-01-03,DGATE,
2020-01-03,TUPRS,
2020-01-03,TOASO,
2020-01-03,TTRAK,
2020-01-03,KRDMD,
2020-01-03,ISCTR,
2020-01-03,TTKOM,
2020-01-03,ZOREN,
2020-01-03,OTKAR,
2020-01-06,AEFES,
2020-01-06,AGHOL,
2020-01-06,AKSA,
2020-01-06,EREGL,
2020-01-06,FROTO,
2020-01-06,BTCIM,
2020-01-06,CCOLA,
2020-01-06,PAPIL,
2020-01-06,TURSG,
2020-01-06,TKFEN,
2020-01-06,OYAKC,
2020-01-06,PGSUS,
2020-01-06,SASA,
2020-01-06,MAVI,
2020-01-06,BRYAT,
2020-01-06,AKFGY,
2020-01-06,AGESA,
2020-01-06,AKBNK,
2020-01-06,ASUZU,
2020-01-06,AKSEN,
2020-01-06,ANHYT,
2020-01-06,ALARK,
2020-01-06,ENKAI,
2020-01-06,EGEEN,
2020-01-06,BRSAN,
2020-01-06,CEMTS,
2020-01-06,ECILC,
2020-01-06,DOHOL,
2020-01-06,CIMSA,
2020-01-06,DOAS,
2020-01-06,GARAN,
2020-01-06,BERA,
2020-01-06,BRISA,
2020-01-06,BIMAS,
2020-01-06,BUCIM,
