source,target,distance,correlation
AEFES,SAHOL,1.0553800187095785,0.4430865080542848
AGHOL,MGROS,1.052439926203112,0.44618510086679414
AGHOL,ULKER,1.0540932112919335,0.44444375095412975
AGHOL,TTKOM,1.0554691878713223,0.44299239672712565
AGHOL,ANHYT,1.0935009006051342,0.4021278901878803
AKSA,SISE,1.0668854971549544,0.4308776679802129
EREGL,SISE,1.0062497893033002,0.49373068076353205
FROTO,SISE,1.0236054060652973,0.4761159863369489
BTCIM,ODAS,1.1411774836077886,0.3488569754532978
CCOLA,MGROS,1.2538793297406956,0.21389331322451194
PAPIL,CEMTS,1.1587855597145582,0.32860801329850897
TURSG,INDES,1.0991322377618897,0.3959541619562703
TKFEN,SISE,1.0474787221011996,0.45139416337261895
OYAKC,PETKM,1.0787062637724825,0.41819639824900573
PGSUS,SISE,1.0197921400385694,0.4800119955577774
SASA,SISE,1.0723337050543205,0.42505021250223674
MAVI,DOHOL,1.0512609595580422,0.4474251974545522
BRYAT,ODAS,1.0875468122572516,0.4086209655745451
AKFGY,ODAS,1.0925490363023558,0.4031683016373968
AGESA,MGROS,1.1167921535669767,0.37638764286561727
AKBNK,ISCTR,0.9243723125563049,0.5727679138896544
AKBNK,YKBNK,0.9278108719208764,0.5695834929727115
AKBNK,GARAN,0.9333787351041684,0.5644020684276714
AKBNK,VAKBN,0.9444799978523595,0.5539787668284035
AKBNK,HALKB,0.9650526778062044,0.5343366645295371
AKBNK,SKBNK,1.029784151002594,0.4697723011719333
ASUZU,CEMTS,1.0872107823786359,0.4089863573398172
AKSEN,PETKM,1.059168305004566,0.43908125083687743
ALARK,PETKM,1.0452464810990023,0.4537298968750766
ENKAI,SISE,1.0571017074380116,0.44126799006582035
EGEEN,VESBE,1.0647401569945192,0.43316419904164327
BRSAN,ODAS,1.086538351346981,0.4097172055260922
CEMTS,BUCIM,1.0566488123469748,0.4417466436828638
CEMTS,TKNSA,1.0775998176411852,0.4193893165098422
ECILC,DOHOL,1.1042064116217847,0.39036410026667095
DOHOL,SISE,1.0092271469820775,0.49073028289720805
DOHOL,GUBRF,1.1067674224267736,0.3875329363273978
CIMSA,VESBE,1.0529405486943118,0.44565810045766097
DOAS,VESBE,1.0699848007267956,0.4275662631068197
BERA,ODAS,1.0935492184535254,0.40207505340984184
BRISA,VESBE,1.0610020702676282,0.4371373034439034
BIMAS,MGROS,1.0608258562667008,0.4373242513380104
BUCIM,ODAS,1.0508657055106496,0.44784063449080236
BUCIM,ZOREN,1.0529288666579888,0.4456704008791617
ASELS,SISE,1.031862460743356,0.467629931054333
AYGAZ,SISE,1.0702993967146353,0.4272296006961438
ARCLK,SISE,0.9985692035675376,0.5014297728432467
VESTL,SISE,1.029167056213024,0.4704075852029093
VESBE,PETKM,1.0334221163434136,0.46601936472615013
VESBE,ZOREN,1.0475598435088924,0.4513091871338124
VESBE,INDES,1.058064584646937,0.4402496673579523
VESBE,OTKAR,1.0698077592267408,0.4277556791491299
VESBE,LOGO,1.094061521580506,0.401514693498474
ENJSA,SISE,1.0332876171597423,0.4661583501121709
EKGYO,KCHOL,1.0165741468056182,0.4832885020232147
MPARK,SOKM,1.0977586850153929,0.3974629347366377
MGROS,SOKM,1.0375308240476167,0.4617648945755369
ISGYO,SAHOL,1.072966770663828,0.4243711545256181
KCHOL,SAHOL,0.9569661418821694,0.5421079016455778
KCHOL,SISE,0.986735575184702,0.5131764523324577
KCHOL,TTKOM,1.0023958504888069,0.4976012794614109
KCHOL,TCELL,1.0101055870342903,0.48984335152105596
HEKTS,SISE,1.1291225672579377,0.3625411140544219
THYAO,SISE,0.9843497725744278,0.5155277626163361
TAVHL,SISE,1.009182383011253,0.4907754589098643
SISE,KRDMD,0.9986286350726779,0.5013704246064402
SISE,PETKM,0.9988549885635778,0.5011443559108274
SISE,TUPRS,1.0069328234205892,0.4930431445591203
SISE,TOASO,1.0145452197695979,0.485348998521329
SISE,TTRAK,1.0461127458763688,0.4528240614575019
SAHOL,ISCTR,0.9827244062575766,0.5171263706728467
INDES,DGATE,1.097134064001841,0.3981484228034023
