ticker_a,ticker_b,sector_a,sector_b,correlation,beta,half_life,spread_std,n_signals,current_zscore,rank_score
BRYAT,BRSAN,Conglomerates,Steel,0.7247,1.5366,128.5,0.584226,48,0.7901,0.4806
AKBNK,YKBNK,Banking,Banking,0.8595,0.9551,103.4,0.169787,54,-0.3553,0.4366
SAHOL,ISCTR,Conglomerates,Banking,0.6881,1.2081,45.0,0.136847,54,0.8767,0.4339
KCHOL,KRDMD,Conglomerates,Steel,0.5427,0.6609,118.3,0.302707,57,3.3633,0.3647
AGHOL,SAHOL,Conglomerates,Conglomerates,0.5061,0.8742,35.8,0.125702,68,0.2044,0.3626
YKBNK,VAKBN,Banking,Banking,0.696,0.9174,222.0,0.360812,53,1.1305,0.3602
PETKM,KRDMD,Chemicals,Steel,0.5887,0.9235,147.9,0.266565,55,2.9662,0.3438
KCHOL,TUPRS,Conglomerates,Energy,0.5974,1.6095,247.0,0.487335,64,-0.3058,0.3351
GARAN,ISCTR,Banking,Banking,0.7933,1.0085,199.5,0.214556,44,0.8045,0.3323
KCHOL,ISCTR,Conglomerates,Banking,0.6506,1.0652,88.2,0.176024,52,1.6342,0.3319
SAHOL,KRDMD,Conglomerates,Steel,0.5312,0.7267,130.9,0.302611,59,2.7172,0.3255
VAKBN,EKGYO,Banking,REIT,0.5081,1.1115,83.9,0.281946,55,-2.491,0.3158
SISE,KRDMD,Industrials,Steel,0.6068,0.8235,138.5,0.255848,57,1.7981,0.3144
EKGYO,HALKB,REIT,Banking,0.5115,1.0891,163.0,0.423611,55,2.0998,0.3022
SISE,PETKM,Industrials,Chemicals,0.5991,0.3309,246.8,0.389521,55,-1.2604,0.3009
SISE,TUPRS,Industrials,Energy,0.5797,1.4867,219.9,0.459844,55,-0.5384,0.288
FROTO,KCHOL,Automotive,Conglomerates,0.5735,0.9154,103.7,0.2287,54,-1.7623,0.2865
VESTL,VESBE,Consumer Durables,Consumer Durables,0.6489,0.9731,72.8,0.168366,52,0.1686,0.2862
FROTO,TOASO,Automotive,Automotive,0.605,1.2572,145.9,0.336401,60,-0.198,0.2841
SAHOL,PETKM,Conglomerates,Chemicals,0.5507,0.2819,225.9,0.409594,60,-1.0186,0.2823
