source,target,distance,correlation
AEFES,AGHOL,0.9374066964163945,0.5606343427568508
AEFES,CCOLA,1.267784362347946,0.19636140529300605
AGHOL,MGROS,0.9901686728900617,0.509782999613567
AGHOL,SAHOL,0.9939224021992139,0.506059129203272
AKSA,AKSEN,1.0421081995773267,0.45700525018685123
EREGL,KRDMD,0.7357734239240247,0.7293187343235588
FROTO,TOASO,0.888874990100341,0.6049506259870594
BTCIM,ODAS,1.1525010141448488,0.33587070619754744
PAPIL,ASELS,1.1650068835847005,0.32137948060013205
TURSG,CEMTS,1.0930744095997607,0.4025941675390674
TKFEN,PETKM,1.000989842092443,0.4990096680138729
OYAKC,CIMSA,0.9301800594802357,0.5673825284726726
PGSUS,THYAO,0.6700660570075742,0.7755057396231612
SASA,SISE,1.0523634062069027,0.4462656306383029
SASA,HEKTS,1.056843800046391,0.44154059115175215
MAVI,KCHOL,0.9972563229523822,0.502739913165747
MAVI,MPARK,1.0865100835735024,0.4097479191465504
BRYAT,BRSAN,0.742056713468041,0.7246759169985049
BRYAT,EGEEN,1.0665894373648783,0.43119348605083613
AKFGY,EKGYO,1.10341418382034,0.3912385694720465
AGESA,ANHYT,1.0467410238979964,0.4521666144444871
AKBNK,YKBNK,0.5301837169217224,0.8594526131555335
AKBNK,GARAN,0.5503459494358622,0.8485596679697697
AKBNK,SAHOL,0.7540641653754383,0.7156936172483218
ASUZU,DOAS,1.076282175055929,0.42080833982843935
AKSEN,ZOREN,0.9936895488080985,0.5062905402947788
ANHYT,DOHOL,1.0978979188433502,0.3973100798997202
ALARK,PETKM,1.0053887485754482,0.49459673211894706
ENKAI,SISE,1.0034060778652831,0.4965881214515047
EGEEN,VESBE,1.0306306972275339,0.46890018296614366
CEMTS,BUCIM,0.9821996362690549,0.5176419372564681
CEMTS,BERA,1.1036625010906385,0.39096454184317814
ECILC,DOHOL,1.1049790410023057,0.3895106594728123
DOHOL,SISE,0.8999051313838962,0.5950853772544663
CIMSA,BUCIM,0.9453574752316062,0.5531496220118616
CIMSA,KRDMD,0.9911119752477542,0.5088485262602476
DOAS,TTRAK,1.0339897259198019,0.4654326233461466
BRISA,SISE,1.0450054940778677,0.4539817586735358
BIMAS,MGROS,0.9253539278107447,0.5718600541426135
ASELS,TTKOM,0.9690489757796438,0.5304720412702116
ASELS,GUBRF,1.1076985749566106,0.3865019335195469
AYGAZ,TUPRS,0.9893673973979162,0.5105760764830368
ARCLK,KCHOL,0.8739766610553299,0.6180823979652885
ARCLK,VESBE,0.9427145115321305,0.5556446748733683
YKBNK,ISCTR,0.5588400869188269,0.843848878626279
VAKBN,HALKB,0.5755052500426266,0.8343968535866869
VAKBN,ISCTR,0.7452207403565616,0.7223230240712091
ULKER,SOKM,0.9950060167619237,0.5049815133037853
VESTL,VESBE,0.8379266845747675,0.6489394356387691
VESBE,INDES,1.0337849598407352,0.4656443284035447
VESBE,TKNSA,1.0545688139313107,0.4439423083417542
ENJSA,SAHOL,0.9576468082110112,0.5414562953616313
EKGYO,SAHOL,0.9414688049634078,0.5568182446403864
ODAS,ZOREN,0.9264821697797765,0.5708153945400787
MGROS,SOKM,0.8726514350075492,0.6192397364896326
LOGO,INDES,1.0640955918368185,0.43385028571672557
ISGYO,SKBNK,1.0198014627247365,0.4800024883122439
KCHOL,SAHOL,0.6702162489861366,0.7754050897974765
KCHOL,SISE,0.8596672090900855,0.6304861448076315
KCHOL,TUPRS,0.897328267969287,0.5974009897516197
KCHOL,TOASO,0.9233156229191434,0.5737441302367171
KCHOL,TTRAK,0.9814094678293998,0.5184177282274072
THYAO,TAVHL,0.7448207233496568,0.722621045034447
THYAO,SISE,0.8777948852170848,0.6147380697433624
TCELL,TTKOM,0.8015602863818776,0.6787505536477012
SISE,KRDMD,0.8868336327717818,0.6067630538924021
SISE,PETKM,0.8954160621907696,0.5991150377853879
SAHOL,TTKOM,0.9067154420546046,0.5889335535698614
SKBNK,ISCTR,0.9588973509284902,0.540257935191162
PETKM,ZOREN,0.9749248621329476,0.5247607565975265
INDES,DGATE,0.9863797903318721,0.5135274546124261
TTRAK,OTKAR,1.0312452000989327,0.4682666686364561
