source,target,partial_correlation,abs_partial_corr
BRYAT,BRSAN,0.499537,0.499537
VAKBN,HALKB,0.414195,0.414195
PGSUS,THYAO,0.319335,0.319335
EREGL,KRDMD,0.318042,0.318042
AKBNK,GARAN,0.257282,0.257282
TCELL,TTKOM,0.247501,0.247501
AKBNK,YKBNK,0.243157,0.243157
PGSUS,TAVHL,0.241643,0.241643
YKBNK,ISCTR,0.233488,0.233488
VESTL,VESBE,0.221805,0.221805
SASA,HEKTS,0.221422,0.221422
INDES,DGATE,0.19649,0.19649
AKBNK,ISCTR,0.193811,0.193811
OYAKC,CIMSA,0.19377,0.19377
MGROS,SOKM,0.191188,0.191188
FROTO,TOASO,0.186863,0.186863
KCHOL,SAHOL,0.184497,0.184497
THYAO,TAVHL,0.182971,0.182971
ODAS,ZOREN,0.179787,0.179787
AEFES,AGHOL,0.177342,0.177342
GARAN,YKBNK,0.173279,0.173279
ISGYO,SKBNK,0.164964,0.164964
GARAN,ISCTR,0.149463,0.149463
OYAKC,BUCIM,0.134462,0.134462
CIMSA,BUCIM,0.13257,0.13257
AYGAZ,TUPRS,0.129808,0.129808
AGESA,ANHYT,0.128019,0.128019
BIMAS,MGROS,0.12604,0.12604
CEMTS,BUCIM,0.123811,0.123811
BRYAT,EGEEN,0.112602,0.112602
AKBNK,SAHOL,0.104586,0.104586
VAKBN,ISCTR,0.102999,0.102999
AGHOL,MGROS,0.102633,0.102633
ASUZU,DOAS,0.102405,0.102405
ULKER,SOKM,0.101036,0.101036
AKSEN,ZOREN,0.099856,0.099856
PETKM,TUPRS,0.098814,0.098814
ASELS,TTKOM,0.09375,0.09375
AKBNK,VAKBN,0.092978,0.092978
BIMAS,SOKM,0.092388,0.092388
PETKM,KRDMD,0.091554,0.091554
EKGYO,ISGYO,0.089927,0.089927
OYAKC,EKGYO,0.089485,0.089485
TKFEN,ENKAI,0.088487,0.088487
KCHOL,TUPRS,0.088107,0.088107
GARAN,VAKBN,0.087451,0.087451
DOAS,TTRAK,0.08657,0.08657
FROTO,KCHOL,0.085187,0.085187
ARCLK,KCHOL,0.084911,0.084911
AKSEN,ODAS,0.084806,0.084806
AKSA,AKSEN,0.081871,0.081871
YKBNK,VAKBN,0.081424,0.081424
BRYAT,DGATE,0.081034,0.081034
LOGO,INDES,0.07881,0.07881
YKBNK,KCHOL,0.078705,0.078705
SISE,KRDMD,0.078021,0.078021
CIMSA,KRDMD,0.077154,0.077154
PETKM,ZOREN,0.076408,0.076408
EGEEN,BRISA,0.075999,0.075999
AKFGY,TKNSA,0.075991,0.075991
HALKB,ISCTR,0.075786,0.075786
FROTO,ARCLK,0.0756,0.0756
