feature,weight_magnitude
realized_vol_5d,0.32639306584601807
vol_ratio,0.1884428769073087
abs_avg_return,0.12569494100652873
realized_vol_20d,0.12080603974684188
return_range,0.0909555082142959
breadth,0.06003541299574867
cs_kurt,0.05601931565408215
pca_1,0.053883074141001276
pca_2,0.03776648135372585
cs_skew,0.03615581834801457
dispersion,0.02175449878679194
pca_5,0.019511970112623886
market_return,0.01471289597948284
pca_3,0.012374927089519637
market_return_lag1,0.006924381486668415
pca_4,0.0038812724937513083
dispersion_lag1,0.001854109186361406
