ticker_a,ticker_b,pair_id
BRYAT,BRSAN,BRYAT_BRSAN
AKBNK,YKBNK,AKBNK_YKBNK
SAHOL,ISCTR,SAHOL_ISCTR
KCHOL,KRDMD,KCHOL_KRDMD
YKBNK,VAKBN,YKBNK_VAKBN
AGHOL,SAHOL,AGHOL_SAHOL
KCHOL,TUPRS,KCHOL_TUPRS
PETKM,KRDMD,PETKM_KRDMD
GARAN,ISCTR,GARAN_ISCTR
KCHOL,ISCTR,KCHOL_ISCTR
SAHOL,KRDMD,SAHOL_KRDMD
VAKBN,EKGYO,VAKBN_EKGYO
SISE,KRDMD,SISE_KRDMD
EKGYO,HALKB,EKGYO_HALKB
SISE,PETKM,SISE_PETKM
SISE,TUPRS,SISE_TUPRS
SAHOL,PETKM,SAHOL_PETKM
FROTO,TOASO,FROTO_TOASO
FROTO,KCHOL,FROTO_KCHOL
VESTL,VESBE,VESTL_VESBE
