ticker_1,ticker_2,correlation,sector_1,sector_2,rank_type
YKBNK,AKBNK,0.8594526076651569,Banking,Banking,top
AKBNK,GARAN,0.8485596726966369,Banking,Banking,top
YKBNK,ISCTR,0.8438488601559581,Banking,Banking,top
ISCTR,AKBNK,0.843388265077874,Banking,Banking,top
VAKBN,HALKB,0.8343968535866869,Banking,Banking,top
YKBNK,GARAN,0.8011830847606176,Banking,Banking,top
ISCTR,GARAN,0.79325598534836,Banking,Banking,top
PGSUS,THYAO,0.7755057396231612,Airlines,Airlines,top
SAHOL,KCHOL,0.775404984577801,Conglomerates,Conglomerates,top
EREGL,KRDMD,0.7293186878529685,Steel,Steel,top
CCOLA,HEKTS,0.06607976769457563,Beverages,Chemicals,bottom
CCOLA,GUBRF,0.0739487075432574,Beverages,Chemicals,bottom
CCOLA,LOGO,0.07401794032283726,Beverages,Technology,bottom
CCOLA,ECILC,0.07926591920768557,Beverages,Pharmaceuticals,bottom
CCOLA,YKBNK,0.08150159540304029,Beverages,Banking,bottom
CCOLA,BRSAN,0.08485553589486099,Beverages,Steel,bottom
CCOLA,CEMTS,0.08589338117516153,Beverages,Steel,bottom
CCOLA,BRYAT,0.08778773519425818,Beverages,Conglomerates,bottom
CCOLA,GARAN,0.08938363630691584,Beverages,Banking,bottom
CCOLA,BERA,0.09153366268055288,Beverages,Conglomerates,bottom
