source,target,distance,correlation
AEFES,AGHOL,0.8579416491752011,0.6319680633052681
AGHOL,KCHOL,0.9077168517093479,0.5880250585614348
AGHOL,MGROS,0.9313734948993343,0.5662717064994999
AGHOL,CCOLA,1.0721564464110414,0.42524027720962393
AKSA,ULKER,0.9740196012512844,0.5256429081891445
EREGL,KRDMD,0.705399023327768,0.7512061089441154
EREGL,BUCIM,0.8669658735190158,0.624185087076705
FROTO,TOASO,0.7980387312083544,0.6815670917456799
FROTO,KCHOL,0.8466813911560584,0.6415653109350208
FROTO,TTRAK,0.9681599905951629,0.531333116305387
BTCIM,SASA,1.0771579485274205,0.41986537696209947
PAPIL,BERA,1.1995123418107216,0.2805850709218794
TURSG,ANHYT,1.016777480577543,0.48308177749519216
TKFEN,SISE,0.8922554822461516,0.6019400772008437
OYAKC,CIMSA,0.8502043926757674,0.6385762453374147
PGSUS,THYAO,0.7304257880958847,0.7332390840422529
PGSUS,TAVHL,0.7617747417236768,0.7098496214359128
SASA,TOASO,1.0389446462219212,0.46029701104340354
SASA,HEKTS,1.0420854508483044,0.457028956565143
MAVI,KCHOL,0.9148213570315665,0.5815509423594616
MAVI,MPARK,0.999820125368164,0.5001798584543944
BRYAT,BRSAN,0.7519715029364209,0.7172694293857702
BRYAT,VESBE,1.0143664662511767,0.4855303360725503
AKFGY,ANHYT,1.109359733525036,0.38466049081663056
AGESA,ANHYT,0.9508196170368584,0.547971027928941
AKBNK,YKBNK,0.4567710219094033,0.8956801167719197
AKBNK,ISCTR,0.4706634335158047,0.8892379661755568
AKBNK,GARAN,0.5317518729772576,0.8586199727925893
AKBNK,SAHOL,0.6716236814439613,0.7744608152618302
AKBNK,VAKBN,0.7387272312465194,0.7271410389074258
AKBNK,SKBNK,0.9512922586796043,0.5475215192881284
ASUZU,DOAS,0.9771288032870125,0.5226096508934455
AKSEN,PETKM,0.9799408086442417,0.5198580057768348
AKSEN,ZOREN,0.9968756274089984,0.5031194917389579
ANHYT,MPARK,0.9977873535420111,0.5022101985558148
ANHYT,INDES,1.031171270603251,0.46834290534123857
ALARK,PETKM,1.0275486943121914,0.4720718404086552
ENKAI,SISE,1.0000006863856177,0.49999931361414685
EGEEN,ULKER,0.9684876814331669,0.5310158054561044
CEMTS,BUCIM,0.9448426437770068,0.5536361892502382
ECILC,DOAS,0.9787127690489716,0.5210606578502471
DOHOL,PETKM,0.9141840862343268,0.5821337282379545
CIMSA,BUCIM,0.8809356638957689,0.6119761780382604
CIMSA,BERA,0.9966349328117354,0.5033594053496738
DOAS,TOASO,0.9597884826350815,0.5394030343005239
DOAS,TKNSA,0.9912242232117828,0.5087372696590988
BRISA,BUCIM,0.9415306748616343,0.5567599941472977
BIMAS,MGROS,0.8473818032266406,0.6409720397801835
BIMAS,SOKM,0.8525217685462301,0.636603317077404
ASELS,TOASO,0.9136683012075968,0.5826051176842121
ASELS,GUBRF,1.0062139080146069,0.4937667856589863
AYGAZ,KCHOL,0.9786812627887232,0.5210914929331351
ARCLK,KCHOL,0.9114202105347887,0.5846565999143607
ARCLK,VESBE,0.9260566294843772,0.5712095594940175
VAKBN,HALKB,0.5663097189113719,0.8396466511332614
ULKER,VESTL,0.8903353128399534,0.6036515153550912
ULKER,TCELL,0.9089162415196586,0.5869356329508889
ENJSA,SAHOL,0.9057190675537856,0.5898364853347505
EKGYO,HALKB,0.8278854475263998,0.6573028428870064
MPARK,LOGO,0.9753232688976904,0.5243722605733617
ODAS,OTKAR,0.9569788964190011,0.5420956959043354
ISGYO,TTKOM,1.0432297507338943,0.4558358435918484
KCHOL,SAHOL,0.6199429758868212,0.8078353533242961
KCHOL,TUPRS,0.8482256023377052,0.6402566637694186
KCHOL,SISE,0.895744084115452,0.598821267886085
KCHOL,THYAO,0.8995202473807964,0.5954316622759954
KCHOL,OTKAR,0.928167270185618,0.569252759278089
TCELL,TTKOM,0.749864618899296,0.7188515266615068
TCELL,SAHOL,0.8589922366123977,0.6310661687198154
SISE,KRDMD,0.8714477954394108,0.6202893699118954
PETKM,KRDMD,0.8830536244212035,0.6101081481982881
INDES,DGATE,0.9879518082395188,0.5119756122981326
