ticker,total_days,available_days,coverage_pct
AAPL,1547,1547,1.0
MDLZ,1547,1547,1.0
VRTX,1547,1547,1.0
UNP,1547,1547,1.0
T,1547,1547,1.0
SYK,1547,1547,1.0
SPOT,1547,1547,1.0
SPGI,1547,1547,1.0
SCHW,1547,1547,1.0
PM,1547,1547,1.0
PGR,1547,1547,1.0
NEE,1547,1547,1.0
LOW,1547,1547,1.0
ADP,1547,1547,1.0
ISRG,1547,1547,1.0
HON,1547,1547,1.0
GILD,1547,1547,1.0
DE,1547,1547,1.0
C,1547,1547,1.0
BMY,1547,1547,1.0
BLK,1547,1547,1.0
BKNG,1547,1547,1.0
BA,1547,1547,1.0
AXP,1547,1547,1.0
AMAT,1547,1547,1.0
AON,1547,1547,1.0
APD,1547,1547,1.0
APO,1547,1547,1.0
REGN,1547,1547,1.0
ZTS,1547,1547,1.0
WMB,1547,1547,1.0
TJX,1547,1547,1.0
TGT,1547,1547,1.0
SHW,1547,1547,1.0
SBUX,1547,1547,1.0
PNC,1547,1547,1.0
MO,1547,1547,1.0
LRCX,1547,1547,1.0
LMT,1547,1547,1.0
KKR,1547,1547,1.0
FDX,1547,1547,1.0
ETN,1547,1547,1.0
ELV,1547,1547,1.0
CRWD,1547,1547,1.0
CI,1547,1547,1.0
CHTR,1547,1547,1.0
CDNS,1547,1547,1.0
BX,1547,1547,1.0
BSX,1547,1547,1.0
ABBV,1547,1547,1.0
AMGN,1547,1547,1.0
WFC,1547,1547,1.0
LLY,1547,1547,1.0
WMT,1547,1547,1.0
V,1547,1547,1.0
UNH,1547,1547,1.0
PG,1547,1547,1.0
ORCL,1547,1547,1.0
NVDA,1547,1547,1.0
NFLX,1547,1547,1.0
MSFT,1547,1547,1.0
META,1547,1547,1.0
MA,1547,1547,1.0
KO,1547,1547,1.0
VZ,1547,1547,1.0
JPM,1547,1547,1.0
JNJ,1547,1547,1.0
HD,1547,1547,1.0
GOOGL,1547,1547,1.0
CVX,1547,1547,1.0
CRM,1547,1547,1.0
COST,1547,1547,1.0
BRK-B,1547,1547,1.0
BAC,1547,1547,1.0
AMZN,1547,1547,1.0
XOM,1547,1547,1.0
ACN,1547,1547,1.0
ADBE,1547,1547,1.0
AMD,1547,1547,1.0
TXN,1547,1547,1.0
TMUS,1547,1547,1.0
RTX,1547,1547,1.0
QCOM,1547,1547,1.0
PFE,1547,1547,1.0
PEP,1547,1547,1.0
NOW,1547,1547,1.0
MS,1547,1547,1.0
MRK,1547,1547,1.0
MCD,1547,1547,1.0
LIN,1547,1547,1.0
INTU,1547,1547,1.0
IBM,1547,1547,1.0
GS,1547,1547,1.0
GE,1547,1547,1.0
DIS,1547,1547,1.0
CSCO,1547,1547,1.0
COP,1547,1547,1.0
CMCSA,1547,1547,1.0
CAT,1547,1547,1.0
SNPS,1547,1547,1.0
PLTR,1547,1359,0.8785
MMC,1547,0,0.0
