source,target,distance,correlation
A,MTD,0.8824039570212904,0.6106816283165843
A,DHR,0.8868920251648239,0.6067112678495187
A,RVTY,0.8991551246372659,0.5957600309192714
A,IQV,0.9021632438052701,0.5930507407633764
A,WAT,0.9069387749015293,0.5887310292900566
A,TECH,0.9081673647157302,0.5876160188326429
A,BAX,1.0184696674791014,0.48135976821250426
NVDA,CDNS,0.88749345448614,0.6061776841221288
NVDA,MPWR,0.8893263858858698,0.6045492896835886
NVDA,AMD,0.8928445013355637,0.6014143482174243
NVDA,ANET,0.935538047007993,0.5623842813002351
NTRS,BAC,0.8416318344290111,0.6458279276378288
NTAP,HPE,0.9517623438016997,0.5470742204605477
NSC,CSX,0.8771445346580073,0.6153087326597939
NRG,VST,0.9550022273979337,0.5439853728324926
NOC,LMT,0.9368765440231857,0.561131170629586
NKE,SWK,0.9694752143156556,0.5300589044138068
NKE,SW,1.171358880709868,0.31395918629106273
NI,EVRG,0.8347374971152296,0.651606655454901
NI,ETR,0.8429695011013023,0.6447012101065107
NI,SRE,0.8821970944849223,0.6108641432411805
NFLX,NOW,0.9901301491181127,0.509821143903672
NEM,NEE,1.118481725387815,0.3744993149867482
NEE,LNT,0.8947426546063032,0.5997177910140328
NDSN,DOV,0.8684930448262488,0.6228599155442157
NDAQ,MCO,0.8972756386459696,0.5974482141462337
NCLH,RCL,0.8600750748360655,0.6301354328228682
TAP,KHC,0.9910536410130385,0.5089063403173997
MU,AMAT,0.8701707589249702,0.6214014251559707
MU,WDC,0.9118623121622794,0.5842535618290309
MU,COHR,0.9388265574978919,0.5593023474683287
MU,STX,0.949746876835669,0.5489904349704462
MSI,CTAS,0.9395405376332694,0.5586317890718936
MSFT,INTU,0.8888045136180482,0.6050132682860924
MSFT,CDNS,0.8914506950872324,0.6026578291142451
MSFT,ADBE,0.8974633620098362,0.5972797569250008
MSFT,AAPL,0.9044088007995138,0.5910223605181927
MSFT,GOOGL,0.9184962019135389,0.5781823635352018
MSFT,META,0.9523607257351806,0.5465045240385801
MSFT,COST,0.9748997052836869,0.5247852823188902
MSCI,MCO,0.8874081833029205,0.6062533581035051
MS,AMP,0.8364385221038023,0.6501852993704035
MS,GS,0.8368932441064092,0.6498048489845251
MS,IVZ,0.8720933359166539,0.6197266067248811
MS,HPE,0.9327289083127583,0.565008391798845
MS,IBKR,0.9401779067241776,0.5580327518538718
