source,target,distance,correlation
AAPL,MSFT,0.7888969526312221,0.6888207990645857
MDLZ,PEP,0.7121806258543018,0.7463993780788876
VRTX,AMGN,1.0494562588390717,0.44932078039174966
UNP,BRK-B,0.8301424126778589,0.6554317873366917
UNP,FDX,0.9735162816334554,0.5261330246972854
T,VZ,0.7761486379568889,0.6987966458988331
T,KO,0.9827882282682842,0.5170636491886434
SYK,BSX,0.7529754154087842,0.7165140118949844
SYK,ISRG,0.789183355705367,0.6885948155388081
SYK,MA,0.8337331567775395,0.6524445116448794
SPOT,NFLX,1.0107492895850223,0.4891929368016864
SPGI,BLK,0.8346101335150291,0.6517129625170126
SPGI,ZTS,0.9347704890234739,0.5631020664254077
SCHW,BAC,0.7808611284511761,0.6951279490369779
PM,MO,0.884646064480698,0.6087006702994063
PM,KO,0.9268872217911333,0.5704400390401573
PGR,BRK-B,0.9709202414007347,0.5286569424191695
NEE,PEP,0.9806036030017834,0.5192082868899603
LOW,HD,0.49655796150030485,0.8767150954353309
ADP,BRK-B,0.8383696377053861,0.6485681752868698
ADP,ACN,0.8564554535264537,0.6332420280623983
ADP,CSCO,0.9391356009220309,0.559012161540408
ADP,TMUS,1.0281014682749254,0.47150368546547133
HON,BRK-B,0.7923450261151008,0.6860946797953301
HON,RTX,0.8714681563649329,0.6202716262209524
GILD,AMGN,1.017518957905989,0.48232758515095514
DE,CAT,0.8091209977992518,0.6726616054601715
C,BAC,0.5112868925384415,0.8692928567591921
C,CVX,0.8745261278367039,0.6176020258654705
BMY,MRK,0.9945997869880265,0.5053856318616862
BLK,BX,0.7477480118501544,0.7204364553870707
BLK,MS,0.7602925394987936,0.7109776271912377
BLK,HD,0.8639109895806956,0.6268289010408516
BLK,SBUX,0.931997009114143,0.5656907875011461
BKNG,AXP,0.84396438723569,0.6438620565389431
BA,RTX,0.8828033826502306,0.6103290937906553
AXP,BAC,0.6679376333413386,0.7769296589831858
AXP,MA,0.7875447781960316,0.6898866111680817
AXP,DIS,0.8759923403339193,0.6163187098381515
AMAT,LRCX,0.4034370630905707,0.9186192680624274
AMAT,QCOM,0.7540013985330517,0.715740945505101
AMAT,TXN,0.765109074145947,0.7073040523297659
AMAT,NVDA,0.7859317655246385,0.6911556299696623
AON,BRK-B,0.9491470807291368,0.5495599095716788
APD,LIN,0.8224370616801547,0.6617986397874567
APO,KKR,0.6459035141194339,0.7914043252240831
REGN,AMGN,1.0566856451612898,0.4417077236550343
WMB,CVX,0.7953087491234365,0.6837419967838574
TJX,MA,0.8918967205006699,0.6022601199800749
TGT,HD,0.9926738222211816,0.5072993413383949
SHW,HD,0.7834884068596316,0.6930729581582782
PNC,BAC,0.5328077330413341,0.8580579598056772
LMT,RTX,0.9724822905773398,0.5271390972567253
KKR,BX,0.6137427148450454,0.8116599399873167
ETN,CAT,0.8148733545714817,0.6679907080047102
ETN,MS,0.8333408062571069,0.6527715503133775
ELV,UNH,0.7393274700907722,0.7266974459845892
ELV,CI,0.8007265372483625,0.6794185062731234
CRWD,NOW,0.9013718001713706,0.5937644389279113
CI,BRK-B,0.987518248586232,0.5124038543545903
CHTR,CMCSA,0.8439206245430428,0.6438989897354402
CDNS,SNPS,0.6018493067248631,0.8188887059974008
CDNS,NVDA,0.7954062080815505,0.6836644820726646
CDNS,MSFT,0.8013768711641177,0.6788975551816046
ABBV,JNJ,1.0035271425936152,0.49646663703894706
AMGN,JNJ,0.9694972250201118,0.5300375653391514
WFC,BAC,0.5235977640798991,0.8629226907252652
LLY,MRK,1.0718446527423673,0.425574520193797
WMT,COST,0.8855646574638616,0.6078876187254567
V,MA,0.43412435699408325,0.9057680213322369
PG,PEP,0.7700649253739796,0.7035000053543836
PG,JNJ,0.9127650903639539,0.5834299449064415
ORCL,MSFT,1.005302209888093,0.4946837333970581
NVDA,AMD,0.7567249397914303,0.7136836827488281
NFLX,AMZN,0.9962829524540489,0.5037101393247218
MSFT,INTU,0.7937022166061543,0.6850183956772387
MSFT,GOOGL,0.7981702359536772,0.6814621372188256
MSFT,AMZN,0.8311983669195342,0.6545546374151497
META,AMZN,0.8849848550234001,0.6084009031896058
KO,PEP,0.7368042663527117,0.7285597365422212
KO,BRK-B,0.8934373880352826,0.6008848168303459
JPM,BAC,0.487618236024051,0.8811142279483964
JPM,BRK-B,0.7171943794835184,0.7428161110186255
JPM,GE,0.8729073190925148,0.6190164061373592
JNJ,PFE,0.9775673541274377,0.5221810340721404
JNJ,MRK,0.9788772121632237,0.5208997017537776
HD,COST,0.9746694177005546,0.5250097630996309
CVX,COP,0.5394138035585575,0.854516374265245
CVX,XOM,0.5426699866954695,0.8527546427699695
CRM,NOW,0.768667965098146,0.7045747797159376
BRK-B,LIN,0.8360491019962739,0.650510949525612
BRK-B,MCD,0.9157140268047848,0.5807339105564829
BRK-B,CMCSA,0.9507044499447576,0.548080524427618
BAC,MS,0.5955417918249004,0.8226649870949935
ACN,INTU,0.8817160977162497,0.6112883615140144
ACN,IBM,0.9503617946809929,0.5484062296053611
ADBE,NOW,0.8054411408942599,0.6756322842774765
NOW,INTU,0.8062165160830764,0.6750074645974333
MS,GS,0.5002764792462823,0.8748617221564721
