source,target,distance,correlation
A,WAT,0.5546038927279356,0.8462072610855103
NVDA,AVGO,0.780008168300016,0.695793628692627
NVDA,SMCI,0.9415693972715101,0.5567235350608826
NTRS,BK,0.8153424062101909,0.667608380317688
NTAP,DELL,0.9843599832993981,0.5155177116394043
NSC,UNP,0.7966346378219273,0.6826866269111633
NSC,IEX,0.9311268027312861,0.5665014386177063
NRG,VST,0.7648206105302139,0.7075247168540955
NOC,LMT,0.8451644908907364,0.6428484916687012
NKE,LULU,1.0864146439913696,0.40985161066055287
NI,CMS,0.5606828584445944,0.8428173661231995
NI,ATO,0.6679354653793733,0.77693110704422
NI,PEG,0.7401377431155499,0.7260980606079102
NI,NEE,0.8056777490551484,0.6754416823387146
NFLX,MSFT,1.0743479980395416,0.4228881895542146
NEM,FCX,0.9927111467853291,0.5072622895240784
NEE,AES,0.8867366973808362,0.6068490147590637
NDSN,IEX,0.8045300820453855,0.6763656735420227
NDSN,KEYS,0.8183809336733705,0.6651263236999512
NDSN,EFX,0.9062481584201386,0.5893571376800537
NDAQ,MCO,0.9664850522033475,0.5329533219337463
NCLH,CCL,0.6028878610509789,0.8182631134986877
TAP,STZ,0.9477004478821436,0.5509319305419922
MU,LRCX,0.749492075908118,0.71913081407547
MU,WDC,0.777639208287488,0.6976386308670044
MTD,WAT,0.7015622043396597,0.7539052367210388
MTD,GEN,0.9929080059160971,0.5070668458938599
MSI,IT,0.9579152287066866,0.5411992073059082
MSI,ROP,0.964637085561464,0.5347376465797424
MSI,AMGN,1.0700968504238808,0.4274463653564452
MSFT,AMZN,0.876379152322143,0.615979790687561
MSFT,CDNS,0.8780843324848954,0.6144839525222778
MSFT,AAPL,1.0105742826457311,0.48936980962753296
MSFT,ORCL,1.0184037854776051,0.481426864862442
MSCI,SPGI,0.9796774661388397,0.5201160311698914
MS,GS,0.6783744142388183,0.7699040770530701
MRNA,TROW,1.0927191917721168,0.4029823839664458
MRK,PG,1.131871115110693,0.3594338893890381
MPWR,KLAC,0.6577263528769848,0.7836980223655701
MPWR,NXPI,0.6698261337152791,0.7756664752960205
MPWR,TSLA,1.0208804093749246,0.47890159487724315
MOS,CF,0.8862976553173917,0.607238233089447
MOS,LYB,0.9702752933955161,0.5292829275131226
MNST,PEP,1.0721382663044352,0.42525976896286
MKC,CAG,1.0146085200750787,0.4852847754955293
MGM,WYNN,0.8028672751052546,0.6777020692825317
MGM,IEX,0.942343660638293,0.5559942126274109
NUE,STLD,0.6256924607893134,0.8042544722557068
NUE,PKG,1.0163500911788235,0.48351624608039856
NVR,PHM,0.5719029445803845,0.8364635109901428
MET,PRU,0.5379514439591544,0.8553041219711304
MET,PFG,0.7030146194283622,0.7528852224349976
MET,L,0.8333669337810207,0.65274977684021
MET,AFL,0.885733977661442,0.60773766040802
NWSA,IVZ,0.9353449529899005,0.5625649094581604
NWSA,TTD,1.023056803943159,0.47667738795280445
PPL,CMS,0.569907475708584,0.8376027345657349
PPL,FE,0.5851646921850125,0.8287911415100098
PPL,SRE,0.6112707921647818,0.8131740093231201
PPL,ETR,0.618914927070501,0.8084721565246582
PPL,EIX,0.6555372636563487,0.7851354479789734
PPL,ES,0.7189320872654479,0.7415683269500732
PPG,SHW,0.8399680821848861,0.6472268104553223
PPG,AVY,0.8941151013279036,0.6002790927886963
POOL,MAS,0.7809336975664528,0.695071280002594
POOL,PNR,0.7888551949602174,0.6888537406921387
POOL,SWK,0.8503045406060158,0.6384910941123962
PNW,LNT,0.641526216353327,0.7942220568656921
PNR,SHW,0.8098335528371131,0.6720848083496094
PNR,DOV,0.810742899159905,0.671347975730896
PNR,OMC,0.9263198509081642,0.5709657669067383
PNC,FITB,0.5522391861029082,0.8475159406661987
PM,MO,0.9868977025750442,0.5130164623260498
PM,ETR,0.9895913107031803,0.5103545188903809
PLD,ARE,0.7264043984622379,0.7361683249473572
PKG,IP,0.8311411793545793,0.6546021699905396
PKG,DOW,0.9157636413807877,0.5806884765625
PH,IR,0.7183171503083606,0.742010235786438
PH,DOV,0.7758189827001184,0.6990524530410767
PH,ETN,0.8118812699402527,0.6704244017601013
PH,GWW,0.8871106193530394,0.6065173745155334
PH,EMR,0.8973738635372538,0.5973600745201111
PGR,ALL,0.8780234417273364,0.6145374178886414
PGR,CBOE,1.1793040985159122,0.3046209216117858
PG,CL,0.7970685536805209,0.6823408603668213
PG,KMB,0.8226033511638202,0.6616618633270264
PG,CHD,0.8937054282858572,0.6006453037261963
PFG,AMP,0.766671224939921,0.7061076164245605
PFG,CFG,0.7838676848571328,0.6927757263183594
PFE,JNJ,1.0723456681190042,0.42503738403320324
PEP,KO,0.7935448418958744,0.6851432919502258
PEP,MDLZ,0.843672007028997,0.644108772277832
PCG,EIX,0.7269789619917407,0.7357507944107056
PCAR,CMI,0.9020090514530319,0.5931898355484009
PCAR,AOS,0.9582525440384324,0.540876030921936
PAYX,ADP,0.7238960147811732,0.7379872798919678
PAYX,BR,1.0098565538442545,0.4900948703289031
PANW,CRWD,1.0330701717221322,0.4663830101490021
OXY,DVN,0.6068714260385015,0.8158535361289978
ORLY,AZO,0.7518981913527968,0.7173245549201965
ORLY,WTW,1.0018340517791506,0.498164266347885
ON,NXPI,0.6383382409938803,0.7962621450424194
ON,RVTY,0.9392863103708243,0.5588706135749817
OKE,WMB,0.7210921398074605,0.740013062953949
ODFL,JBHT,0.9009084143626009,0.594182014465332
NXPI,MCHP,0.5785282893472127,0.8326525092124939
NXPI,TER,0.6670553643842073,0.7775185704231262
NXPI,TEL,0.8717124349881957,0.6200587153434753
META,AMZN,0.887386725812927,0.6062723994255066
MDT,ZBH,0.8476926031096179,0.6407086253166199
MDT,ABT,0.9896582859498619,0.5102882385253906
MDT,BDX,1.0174891749656763,0.48235788941383373
MDT,HSIC,1.1405142377611062,0.34961363673210155
INCY,GILD,1.0848359483199066,0.41156548261642445
KLAC,LRCX,0.37715246434484445,0.9288780093193054
KLAC,QCOM,0.6630212137041901,0.7802014350891113
KLAC,AVGO,0.6670953941644825,0.7774918675422668
KLAC,APH,0.680754427062961,0.7682867050170898
KLAC,AMD,0.8264580990600511,0.6584835052490234
KHC,MDLZ,0.8621179674461007,0.628376305103302
KHC,CAG,0.8856349825515198,0.6078253388404846
KMI,WMB,0.6525708562737733,0.7870756387710571
KMB,DGX,0.9994017480416209,0.5005980730056763
KIM,FRT,0.5127043805001646,0.8685671091079712
KIM,BXP,0.6849105794694674,0.7654487490653992
KIM,SPG,0.751299130297873,0.7177748084068298
KIM,VTR,0.8012992114161386,0.6789597868919373
KEYS,TGT,1.053374879436185,0.44520068168640137
KEY,CFG,0.5728048966939037,0.8359472751617432
KDP,KO,0.8989466675627267,0.5959474444389343
JPM,C,0.7902710978205751,0.6877357959747314
JNJ,MO,1.0161842860316443,0.4836847484111786
JNJ,BMY,1.0197472179156988,0.4800578057765962
JNJ,ABBV,1.0654435336072539,0.43241503834724426
JNJ,GILD,1.083548765892082,0.41296103596687306
JKHY,FIS,0.975602372253493,0.5241000056266785
JCI,ETN,0.9459396677839873,0.5525990724563599
JBL,LRCX,1.0096590144473092,0.49029433727264415
JBHT,DOV,0.9733983162085708,0.5262478590011597
JBHT,EXPD,1.0423985898026642,0.4567025899887085
J,BLDR,0.9824477812307145,0.5173981785774231
