ticker,sector,te_out,te_in,net_te_flow,role
META,Communication Services,0.169143,0.041006,0.128137,source
PEP,Consumer Staples,0.174283,0.072662,0.101621,source
AON,Financials,0.127505,0.031735,0.095771,source
MRK,Health Care,0.156926,0.076547,0.080379,source
LOW,Consumer Discretionary,0.109625,0.030801,0.078824,source
ZTS,Health Care,0.105504,0.029696,0.075808,source
GS,Financials,0.156058,0.080615,0.075443,source
KKR,Financials,0.113372,0.046324,0.067048,source
ISRG,Health Care,0.112662,0.046232,0.06643,source
QCOM,Information Technology,0.095709,0.033041,0.062667,source
PGR,Financials,0.11036,0.048732,0.061627,source
TXN,Information Technology,0.13554,0.076314,0.059226,source
HD,Consumer Discretionary,0.121474,0.063561,0.057913,source
NEE,Utilities,0.094514,0.03832,0.056193,source
TJX,Consumer Discretionary,0.181407,0.126275,0.055132,source
PNC,Financials,0.090889,0.036218,0.054671,source
INTU,Information Technology,0.168007,0.115923,0.052084,source
GOOGL,Communication Services,0.146763,0.09496,0.051803,source
COST,Consumer Staples,0.139052,0.088649,0.050403,source
CRWD,Information Technology,0.138148,0.092162,0.045986,source
LLY,Health Care,0.081062,0.036395,0.044668,source
ACN,Information Technology,0.13862,0.094072,0.044549,source
AMZN,Consumer Discretionary,0.105106,0.061322,0.043784,source
ADP,Industrials,0.119683,0.077253,0.04243,source
AMGN,Health Care,0.096209,0.057021,0.039188,source
CMCSA,Communication Services,0.061839,0.023117,0.038721,source
AAPL,Information Technology,0.078646,0.041917,0.036729,source
PG,Consumer Staples,0.071623,0.035083,0.03654,source
MS,Financials,0.078926,0.043754,0.035172,source
BLK,Financials,0.095198,0.060327,0.034871,source
SYK,Health Care,0.060253,0.027567,0.032687,source
AMD,Information Technology,0.140428,0.109029,0.031399,source
MDLZ,Consumer Staples,0.07261,0.041222,0.031388,source
PM,Consumer Staples,0.100314,0.078623,0.021692,source
AXP,Financials,0.12101,0.099499,0.021511,source
V,Financials,0.083915,0.063675,0.02024,source
