source,target,distance,correlation
AAPL,MSFT,0.8009124782332492,0.6792696011051376
MDLZ,PEP,0.7607498246090408,0.7106298521786568
VRTX,REGN,1.0389124079163907,0.46033050433868333
UNP,BRK-B,0.8656472441876755,0.6253274243151414
UNP,FDX,1.0120834764424014,0.4878435183561316
T,VZ,0.768583644758337,0.7046395905049953
T,KO,0.9802148527877251,0.5195894211871692
SYK,BSX,0.7114823350485692,0.7468964434569177
SYK,ISRG,0.7382927826206379,0.7274618835651377
SYK,MA,0.8053919442206668,0.6756719080922271
SYK,MCD,0.8539669053838038,0.6353702622546047
SPOT,NVDA,0.9824036383999325,0.5174415456292873
SPGI,INTU,0.8515408802435227,0.6374390646370433
SPGI,COST,0.9937416489688858,0.5062387675522998
SCHW,BAC,0.8760804013867679,0.6162415651529998
PM,MO,0.8907724063951982,0.603262260002454
PGR,BRK-B,1.0519869331618212,0.44666174622839294
NEE,PG,0.9680143026057663,0.531474154975336
LOW,HD,0.5451225291866653,0.8514207140865666
LOW,SHW,0.8013893635699687,0.6788875439784603
LOW,BLK,0.8764502450051772,0.6159174840151824
ADP,MA,0.8485130290670035,0.6400128197517692
HON,AXP,0.8107897435959814,0.6713099958397813
HON,IBM,0.9630418761461714,0.5362751723944311
GILD,AMGN,1.0878252995843303,0.40831805879213107
DE,CAT,0.8334949270963341,0.6526431032523383
C,BAC,0.5393681811799061,0.85454098256534
BMY,MRK,1.0224774777949643,0.4772699037010242
BMY,JNJ,1.040239064947685,0.458951343878383
BMY,AMGN,1.052863847918193,0.44573885887344783
BLK,BX,0.7068073772565883,0.7502116657278315
BLK,MA,0.8080292193006471,0.6735443903781934
BLK,SBUX,0.949511168474608,0.5492142704709922
BKNG,AXP,0.8996619676032221,0.5953041720241494
BA,RTX,0.8281114789458887,0.6571156892190265
AXP,BAC,0.6771229140853714,0.7707522796102674
AXP,APO,0.7493303268719613,0.7192520306149798
AXP,RTX,0.8423158161997562,0.6452520328898693
AXP,DIS,0.9240864194670885,0.5730321446782481
AMAT,LRCX,0.41461766613244755,0.9140460954654411
AMAT,QCOM,0.7762820806565766,0.6986930656257482
AMAT,NVDA,0.8448703010220349,0.6430970872254681
AON,LIN,0.9260670334734674,0.5711999247568259
APD,LIN,0.8467823601333387,0.6414798172835063
APO,KKR,0.605538314617991,0.8166616747648014
APO,ETN,0.8405731580455988,0.6467183829866243
REGN,AMGN,1.0823643728576786,0.414243682184202
ZTS,MA,0.9411455858663387,0.5571224931021531
WMB,COP,0.7909130525459651,0.6872282716562117
TJX,MA,0.8965933653347771,0.5980601686188295
TGT,HD,1.060980365393051,0.43716033212521405
PNC,BAC,0.5488353231415505,0.8493898940360549
MO,KO,0.9182382721224064,0.5784192378048287
LRCX,TXN,0.7682625698326415,0.7048863118970728
LMT,RTX,0.9145277372993196,0.5818195088550934
KKR,BX,0.6219684396505513,0.8065776300393293
KKR,INTU,0.8851153710408568,0.6082853899736032
ETN,CAT,0.8378713084704945,0.6489858352209708
ETN,GE,0.863108118304442,0.6275221880584827
ETN,CSCO,0.945907982107314,0.5526290446928347
ELV,UNH,0.7446033553212725,0.7227829216221514
ELV,CI,0.7971774074414688,0.6822540905324492
ELV,MA,1.0038547765227994,0.4961377938261802
CRWD,NOW,0.8558493021803052,0.6337609859787423
CHTR,CMCSA,0.8470470884428927,0.6412556149802092
CDNS,SNPS,0.6075008169035884,0.8154713787307364
CDNS,NVDA,0.8018971359298559,0.6784804916937471
CDNS,INTU,0.8063514300147842,0.6748986856565563
BX,ACN,0.9017227882015044,0.5934480066190524
ABBV,AMGN,1.0590181334778526,0.4392402964825426
WFC,BAC,0.5527515329536511,0.8472328714086944
LLY,MRK,1.1405024006603932,0.34962713704393994
WMT,COST,0.919456725176389,0.5772996652639552
V,MA,0.45322720231431596,0.897292551541169
PG,PEP,0.8075560182384982,0.6739266387033912
ORCL,NVDA,1.0516776825911736,0.4469870259698294
NVDA,AMD,0.7317221453204331,0.7322913510238315
NVDA,MSFT,0.8146039578641783,0.668210195916008
NVDA,NFLX,0.9954360579695262,0.504553527247045
MSFT,NOW,0.8219765359012654,0.6621772872138779
MSFT,GOOGL,0.8232679997603051,0.6611149002853332
MSFT,AMZN,0.8544598524677227,0.6349491802604188
MSFT,META,0.8816139936770727,0.6113783830763811
KO,PEP,0.7269331964635941,0.7357840639396108
KO,BRK-B,0.8991920584088318,0.5957268210472441
VZ,TMUS,1.045020738712315,0.4539658278305838
JPM,BAC,0.5247679753640204,0.8623092860161734
JPM,BRK-B,0.7687383243897076,0.7045206943072524
JNJ,PEP,0.9298393115430261,0.5676994273545956
JNJ,PFE,1.0367943684245071,0.46252871880161367
CVX,XOM,0.5130773585336669,0.8683758120800575
CVX,COP,0.5517730910769469,0.8477732279816956
CVX,BAC,0.8551707649205261,0.6343414814126211
CRM,NOW,0.8136508655879621,0.66898613446398
BRK-B,LIN,0.8908839334616686,0.6031629085499326
BRK-B,CMCSA,0.9934088549858134,0.5065694234178876
BAC,MS,0.6546158969969594,0.7857390136994331
ADBE,NOW,0.8679373739971851,0.6233423574094352
MS,GS,0.5089364172923132,0.8704918615768322
